Id,State,state_code,City/Town,Suburb,Postcode,Property_Median_Value,Updated_Year,Updated_Month
1,New South Wale,NSW,SYDNEY,Dawes Point,2000,1044350,2017,6
2,New South Wale,NSW,SYDNEY,Haymarket,2000,1044350,2017,6
3,New South Wale,NSW,SYDNEY,Millers Point,2000,1044350,2017,6
4,New South Wale,NSW,SYDNEY,Parliament House,2000,1044350,2017,6
5,New South Wale,NSW,SYDNEY,Sydney,2000,1044350,2017,6
6,New South Wale,NSW,SYDNEY,Sydney South,2000,1044350,2017,6
7,New South Wale,NSW,SYDNEY,The Rocks,2000,1044350,2017,6
8,New South Wale,NSW,SYDNEY,Broadway,2007,1051540,2017,6
9,New South Wale,NSW,SYDNEY,Ultimo,2007,1051540,2017,6
10,New South Wale,NSW,SYDNEY,Chippendale,2008,1052500,2017,6
11,New South Wale,NSW,SYDNEY,Darlington,2008,1052500,2017,6
12,New South Wale,NSW,SYDNEY,Pyrmont,2009,985000,2017,6
13,New South Wale,NSW,SYDNEY,Darlinghurst,2010,1250000,2017,6
14,New South Wale,NSW,SYDNEY,Surry Hills,2010,1250000,2017,6
15,New South Wale,NSW,SYDNEY,Elizabeth Bay,2011,850000,2017,6
16,New South Wale,NSW,SYDNEY,Hmas Kuttabul,2011,850000,2017,6
17,New South Wale,NSW,SYDNEY,Potts Point,2011,850000,2017,6
18,New South Wale,NSW,SYDNEY,Rushcutters Bay,2011,850000,2017,6
19,New South Wale,NSW,SYDNEY,Woolloomooloo,2011,850000,2017,6
20,New South Wale,NSW,SYDNEY,Alexandria,2015,945000,2017,6
21,New South Wale,NSW,SYDNEY,Beaconsfield,2015,945000,2017,6
22,New South Wale,NSW,SYDNEY,Eveleigh,2015,945000,2017,6
23,New South Wale,NSW,SYDNEY,Redfern,2016,1120000,2017,6
24,New South Wale,NSW,SYDNEY,Waterloo,2017,910000,2017,6
25,New South Wale,NSW,SYDNEY,Zetland,2017,910000,2017,6
26,New South Wale,NSW,SYDNEY,Eastlakes,2018,800000,2017,6
27,New South Wale,NSW,SYDNEY,Rosebery,2018,800000,2017,6
28,New South Wale,NSW,SYDNEY,Banksmeadow,2019,1070000,2017,6
29,New South Wale,NSW,SYDNEY,Botany,2019,1070000,2017,6
30,New South Wale,NSW,SYDNEY,Mascot,2020,1057500,2017,6
31,New South Wale,NSW,SYDNEY,Sydney Domestic Airport,2020,1057500,2017,6
32,New South Wale,NSW,SYDNEY,Sydney International Airport,2020,1057500,2017,6
33,New South Wale,NSW,SYDNEY,Moore Park,2021,2100000,2017,6
34,New South Wale,NSW,SYDNEY,Paddington,2021,2100000,2017,6
35,New South Wale,NSW,SYDNEY,Bondi Junction,2022,1310000,2017,6
36,New South Wale,NSW,SYDNEY,Bondi Junction Plaza,2022,1310000,2017,6
37,New South Wale,NSW,SYDNEY,Queens Park,2022,1310000,2017,6
38,New South Wale,NSW,SYDNEY,Bellevue Hill,2023,1385000,2017,6
39,New South Wale,NSW,SYDNEY,Bronte,2024,1350000,2017,6
