stop_id,state_code,Train_Station,Street_Name,Street_Type,Entrance_Type,LAT,LONG,Exit_Number
0,NSW,Aberdeen,Macqueen,St,Stairs,-32.16689969,150.8919751,
1,NSW,Aberdeen,Macqueen,St,Ramp,-32.16688641,150.8919573,
2,NSW,Adamstown,Park,Ave,Path,-32.9337056,151.7204518,
3,NSW,Adamstown,St James,Rd,Stairs,-32.93341396,151.7203632,
4,NSW,Adamstown,St James,Rd,Ramp,-32.93340162,151.7203474,
5,NSW,Adamstown,Park,Ave,Path,-32.93382729,151.7202364,
6,NSW,Albion Park,Burroo,St,Ramp,-34.56340933,150.79939,
7,NSW,Albion Park,Princes,Hwy,Ramp,-34.56350712,150.79918930000002,
8,NSW,Albion Park,Princes,Hwy,Stairs,-34.56293995,150.798574,
9,NSW,Albion Park,Princes,Hwy,Ramp,-34.56278202,150.7984185,
10,NSW,Allawah,Railway,Pde,Ramp,-33.96996874,151.11494480000002,
11,NSW,Allawah,Roberts,Lane,Ramp,-33.96953727,151.1146945,
12,NSW,Allawah,Roberts,Lane,Stairs,-33.96949011,151.11456669999998,
13,NSW,Allawah,Railway,Pde,Lift,-33.96987782,151.1144352,
14,NSW,Allawah,Railway,Pde,Ramp,-33.96988689,151.1142405,
15,NSW,Arlington LR,Grove,St,Path,-33.9020453,151.1381593,
16,NSW,Arlington LR,Constitution,Rd,Path,-33.902049700000006,151.13804340000002,
17,NSW,Arncliffe,The Arcade,,Stairs,-33.93692447,151.1474278,
18,NSW,Arncliffe,The Arcade,,Lift,-33.93696302,151.1474227,
19,NSW,Arncliffe,Firth,St,Lift,-33.93677457,151.1468602,
20,NSW,Arncliffe,Firth,St,Stairs,-33.93671781,151.1468509,
21,NSW,Artarmon,Valetta,Lane,Ramp,-33.80823377,151.1847419,
22,NSW,Artarmon,Hampden,Rd,Lift,-33.80875941,151.1847201,
23,NSW,Artarmon,Hampden,Rd,Stairs,-33.80854065,151.1844285,
24,NSW,Ashfield,Station,St,Lift,-33.88744211,151.1259581,
25,NSW,Ashfield,Station,St,Stairs,-33.88739665,151.1258025,
26,NSW,Ashfield,Brown,St,Lift,-33.88789161,151.1257974,
27,NSW,Ashfield,Brown ,St,Stairs,-33.887775,151.1255397,
28,NSW,Asquith,Haldane,St,Path,-33.68869132,151.1082656,
29,NSW,Asquith,Pacific,Hwy,Ramp,-33.68848916,151.1079991,
30,NSW,Auburn,Rawson,St,Ramp,-33.8492876,151.03329140000002,
31,NSW,Auburn,South,Pde,Stairs,-33.849663,151.03291919999998,
32,NSW,Auburn,South,Pde,Ramp,-33.84946375,151.03272090000002,
33,NSW,Austinmer,Gilchrist,St,Path,-34.306520500000005,150.9293511,
34,NSW,Austinmer,Railway,Ave,Path,-34.30650136,150.9289071,
35,NSW,Awaba,Adelaide,St,Ramp,-33.0129167,151.5421589,
36,NSW,Awaba,Adelaide,St,Path,-33.01291676,151.54213280000002,
37,NSW,Awaba,Wilton,Rd,Ramp,-33.01310914,151.5420747,
38,NSW,Banksia,Hattersley,St,Ramp,-33.94490035,151.140849,
