,id,stop_id,postcode,stop_name,stop_lat,stop_lon,mode,state_code
0,1,15351,3429,Sunbury Railway Station (Sunbury),-37.57909097,144.7273188,train,VIC
1,2,15353,3427,Diggers Rest Railway Station (Diggers Rest),-37.62701651,144.71992240000003,train,VIC
2,3,19827,3919,Stony Point Railway Station (Crib Point),-38.37423454,145.2218375,train,VIC
3,4,19828,3920,Crib Point Railway Station (Crib Point),-38.36612338,145.20404330000002,train,VIC
4,5,19829,3920,Morradoo Railway Station (Crib Point),-38.35403334,145.18960249999998,train,VIC
5,6,19830,3918,Bittern Railway Station (Bittern),-38.33739032,145.1780265,train,VIC
6,7,19831,3915,Hastings Railway Station (Hastings),-38.30565853,145.1859799,train,VIC
7,8,19832,3913,Tyabb Railway Station (Tyabb),-38.259815,145.1864007,train,VIC
8,9,19833,3912,Somerville Railway Station (Somerville),-38.22534196,145.1762449,train,VIC
9,10,19834,3911,Baxter Railway Station (Baxter),-38.19404306,145.1605261,train,VIC
10,11,19835,3146,Glen Iris Railway Station (Glen Iris),-37.85930842,145.0582249,train,VIC
11,12,19836,3199,Leawarra Railway Station (Frankston),-38.152034,145.139534,train,VIC
12,13,19837,3145,Darling Railway Station (Malvern East),-37.86895684,145.0629508,train,VIC
13,14,19838,3145,East Malvern Railway Station (Malvern East),-37.87693002,145.069393,train,VIC
14,15,19839,3145,Holmesglen Railway Station (Malvern East),-37.87440222,145.090662,train,VIC
15,16,19840,3149,Jordanville Railway Station (Mount Waverley),-37.87360339,145.11209019999998,train,VIC
16,17,19841,3000,Flagstaff Railway Station (Melbourne City),-37.81198131,144.95565380000002,train,VIC
17,18,19842,3000,Melbourne Central Railway Station (Melbourne City),-37.80993877,144.9625935,train,VIC
18,19,19843,3002,Parliament Railway Station (Melbourne City),-37.81105406,144.97291090000002,train,VIC
19,20,19844,3160,Belgrave Railway Station (Belgrave),-37.9091021,145.3552913,train,VIC
20,21,19845,3160,Tecoma Railway Station (Tecoma),-37.90811849,145.3429946,train,VIC
21,22,19846,3158,Upwey Railway Station (Upwey),-37.90369097,145.3313334,train,VIC
22,23,19847,3147,Alamein Railway Station (Ashburton),-37.86832039,145.0796557,train,VIC
23,24,19848,3147,Ashburton Railway Station (Ashburton),-37.86196753,145.0813438,train,VIC
24,25,19849,3146,Burwood Railway Station (Glen Iris),-37.85156328,145.0805111,train,VIC
25,26,19850,3124,Hartwell Railway Station (Camberwell),-37.84398457,145.0755596,train,VIC
26,27,19851,3124,Willison Railway Station (Camberwell),-37.83571565,145.0702976,train,VIC
27,28,19852,3124,Riversdale Railway Station (Camberwell),-37.83150543,145.069646,train,VIC
28,29,19853,3124,Camberwell Railway Station (Camberwell),-37.82656714,145.05869719999998,train,VIC
29,30,19854,3000,Flinders Street Railway Station (Melbourne City),-37.81830513,144.96696430000003,train,VIC
30,31,19855,3199,Frankston Railway Station (Frankston),-38.14299007,145.1261623,train,VIC
31,32,19856,3198,Kananook Railway Station (Seaford),-38.12174203,145.13529530000002,train,VIC
32,33,19857,3198,Seaford Railway Station (Seaford),-38.10402104,145.1282304,train,VIC
33,34,19858,3197,Carrum Railway Station (Carrum),-38.07489292,145.12241830000002,train,VIC
34,35,19859,3196,Bonbeach Railway Station (Bonbeach),-38.06294478,145.1196804,train,VIC
35,36,19860,3196,Chelsea Railway Station (Chelsea),-38.05195538,145.1160413,train,VIC
36,37,19861,3196,Edithvale Railway Station (Edithvale),-38.03805602,145.1085355,train,VIC
37,38,19862,3195,Aspendale Railway Station (Aspendale),-38.02722019,145.10214960000002,train,VIC
38,39,19863,3195,Mordialloc Railway Station (Mordialloc),-38.00658295,145.0876594,train,VIC
39,40,19864,3195,Parkdale Railway Station (Parkdale),-37.99307882,145.0763268,train,VIC
40,41,19865,3194,Mentone Railway Station (Mentone),-37.9818654,145.0651659,train,VIC
41,42,19866,3192,Cheltenham Railway Station (Cheltenham),-37.96664989,145.05455790000002,train,VIC
42,43,19867,3156,Upper Ferntree Gully Railway Station (Upper Ferntree Gully),-37.8926717,145.3075302,train,VIC
43,44,19868,3156,Ferntree Gully Railway Station (Ferntree Gully),-37.88169799,145.2952513,train,VIC
44,45,19869,3155,Boronia Railway Station (Boronia),-37.8604518,145.2843851,train,VIC
45,46,19870,3153,Bayswater Railway Station (Bayswater),-37.84173004,145.2681364,train,VIC
46,47,19871,3135,Heathmont Railway Station (Heathmont),-37.82832227,145.2445554,train,VIC
47,48,19872,3190,Highett Railway Station (Highett),-37.948425,145.04187180000002,train,VIC
48,49,19873,3150,Glen Waverley Railway Station (Glen Waverley),-37.87950407,145.1620575,train,VIC
49,50,19874,3150,Syndal Railway Station (Glen Waverley),-37.87622963,145.1497805,train,VIC
50,51,19875,3149,Mount Waverley Railway Station (Mount Waverley),-37.87525526,145.12805569999998,train,VIC
51,52,19876,3140,Lilydale Railway Station (Lilydale),-37.75551777,145.3477102,train,VIC
52,53,19877,3138,Mooroolbark Railway Station (Mooroolbark),-37.78474883,145.3124024,train,VIC
53,54,19878,3136,Croydon Railway Station (Croydon),-37.79543697,145.2805978,train,VIC
54,55,19879,3135,Ringwood East Railway Station (Ringwood East),-37.81196804,145.2501909,train,VIC
55,56,19880,3810,Pakenham Railway Station (Pakenham),-38.08061397,145.4863791,train,VIC
56,57,19881,3809,Officer Railway Station (Officer),-38.06614572,145.4109872,train,VIC
57,58,19882,3807,Beaconsfield Railway Station (Beaconsfield),-38.05083135,145.3660737,train,VIC
58,59,19883,3806,Berwick Railway Station (Berwick),-38.04040829,145.3457261,train,VIC
59,60,19884,3805,Narre Warren Railway Station (Narre Warren),-38.02780932,145.3039694,train,VIC
60,61,19885,3803,Hallam Railway Station (Hallam),-38.01774038,145.26977680000002,train,VIC
61,62,19886,3977,Cranbourne Railway Station (Cranbourne),-38.09953731,145.280599,train,VIC
62,63,19887,3977,Merinda Park Railway Station (Cranbourne North),-38.07900048,145.2635114,train,VIC
63,64,19888,3175,Dandenong Railway Station (Dandenong),-37.98996792,145.2097254,train,VIC
64,65,19889,3174,Yarraman Railway Station (Noble Park),-37.97825454,145.1916003,train,VIC
65,66,19890,3174,Noble Park Railway Station (Noble Park),-37.96723193,145.17693569999997,train,VIC
66,67,19891,3171,Sandown Park Railway Station (Springvale),-37.95650457,145.1628259,train,VIC
67,68,19892,3124,East Camberwell Railway Station (Camberwell),-37.82589419,145.06819019999998,train,VIC
68,69,19893,3126,Canterbury Railway Station (Canterbury),-37.82448518,145.08122419999998,train,VIC
69,70,19894,3127,Chatham Railway Station (Surrey Hills),-37.82429952,145.0886479,train,VIC
70,71,19895,3127,Surrey Hills Railway Station (Surrey Hills),-37.82414805,145.0987747,train,VIC
71,72,19896,3127,Mont Albert Railway Station (Mont Albert),-37.81942655,145.1055304,train,VIC
72,73,19897,3130,Laburnum Railway Station (Blackburn),-37.82078023,145.14070269999996,train,VIC
73,74,19898,3130,Blackburn Railway Station (Blackburn),-37.82007075,145.1500135,train,VIC
74,75,19899,3131,Nunawading Railway Station (Nunawading),-37.82060317,145.1748917,train,VIC
75,76,19900,3132,Mitcham Railway Station (Mitcham),-37.81800987,145.19197350000002,train,VIC
76,77,19901,3132,Heatherdale Railway Station (Mitcham),-37.81889537,145.2127872,train,VIC
77,78,19902,3134,Ringwood Railway Station (Ringwood),-37.81588648,145.2289685,train,VIC
78,79,19903,3123,Auburn Railway Station (Hawthorn East),-37.82239831,145.04584369999998,train,VIC
79,80,19904,3122,Glenferrie Railway Station (Hawthorn),-37.82146682,145.0364388,train,VIC
80,81,19905,3122,Hawthorn Railway Station (Hawthorn),-37.82182601,145.02289869999998,train,VIC
