id,stop_id,postcode,stop_name,stop_lat,stop_lon,mode,state_code
1,32, 214,Arboretum Car Park,-35.28751,149.068329,bus,ACT
2,33, 2601,Arboretum Stop 3,-35.291889000000005,149.063995,bus,ACT
3,201, 2611,Fremantle Dr after McKail Cr,-35.347042,149.047943,bus,ACT
4,300, 2612,Donaldson St after Ainslie Primary School,-35.273621,149.140823,bus,ACT
5,401, 2615,MacFarlane Burnet Av after DeGruchy Pl,-35.216084,149.002975,bus,ACT
6,402, 2615,MacFarlane Burnet Av after Eccles Cct,-35.212837,149.004196,bus,ACT
7,403, 2615,MacFarlane Burnet Av before Eccles Cct,-35.212666,149.004013,bus,ACT
8,404, 2615,MacFarlane Burnet Av after Hallows Cct,-35.216072,149.003357,bus,ACT
9,405, 2615,MacFarlane Burnet Av after Constance Stone St,-35.209343,149.00322,bus,ACT
10,406, 2615,MacFarlane Burnet Av before Constance Stone St,-35.209293,149.002975,bus,ACT
11,600, 2913,O'Hanlon Pl after Gold Creek Rd,-35.192122999999995,149.08596799999998,bus,ACT
12,601, 2913,O'Hanlon Pl before Gold Creek Rd,-35.192142,149.086075,bus,ACT
13,1001, 2905,Drumston St opp MacKillop College,-35.426113,149.091614,bus,ACT
14,1002, 2905,Drumston St MacKillop after Isabella Dr,-35.425971999999994,149.09170500000002,bus,ACT
15,1003, 2905,Hambidge Cr after Truganini Pl,-35.418968,149.120026,bus,ACT
16,1007, 2905,Ellerston Av opp Isabella Plains Shops,-35.427859999999995,149.091034,bus,ACT
17,1008, 2905,Ellerston Av Isabella Plains Shops,-35.427479,149.09141499999998,bus,ACT
18,1009, 2905,Ellerston Av after Drumston St,-35.425655,149.09548999999998,bus,ACT
19,1010, 2905,Ellerston Av 2nd after Collyburl Cr,-35.425765999999996,149.095459,bus,ACT
20,1011, 2905,Ellerston Av 2nd after Drumston St,-35.426369,149.098007,bus,ACT
21,1012, 2905,Ellerston Av after Collyburl Cr,-35.426601,149.09811399999998,bus,ACT
22,1013, 2905,Ellerston Av after Abercorn Cr,-35.428486,149.100616,bus,ACT
23,1014, 2905,Ellerston Av after Groveland Cr,-35.428391,149.100357,bus,ACT
24,1015, 2905,Ellerston Av after 2nd Abercorn Cr,-35.428791,149.10289,bus,ACT
25,1016, 2905,Ellerston Av after Ashley Dr,-35.428921,149.102844,bus,ACT
26,1017, 2905,Webber Cr Calwell Shops,-35.435093,149.11373899999998,bus,ACT
27,1019, 2905,Casey Cr after Roope Cl,-35.436661,149.11128200000002,bus,ACT
28,1020, 2905,Casey Cr after Downard St,-35.436859000000005,149.11084,bus,ACT
29,1027, 2905,Duggan St after Downard St,-35.439865000000005,149.098618,bus,ACT
30,1028, 2905,Duggan St after Beckett St,-35.439834999999995,149.09848,bus,ACT
31,1029, 2905,Duggan St after Tharwa Dr,-35.441601,149.100906,bus,ACT
