id,stop_id,postcode,stop_name,stop_lat,stop_lon,mode,state_code
1,BS140,5006,Hill St (1272),-34.905850320562585,138.5863211380427,bus,SA
2,BS141,5000,North Tce Dsc (1364),-34.92089836597843,138.60971596298702,bus,SA
3,BS142,5000,North Tce Dsc (1364),-34.92087521566024,138.61019144126692,bus,SA
4,BS143,5006,Ward St (1493),-34.90974297157026,138.59154106849564,bus,SA
5,BS145,5006,Hill St (1272),-34.91029276682658,138.58791717480798,bus,SA
6,BS146,5006,Park 26 - Tarntanya Wama (5264),-34.913210061046456,138.59766748890183,bus,SA
7,BS147,5000,Park 13 - Rundle (5133),-34.92036492736672,138.61379530252376,bus,SA
8,BS148,5000,North Tce Dsc (1364),-34.92080015201599,138.61045788158017,bus,SA
9,BS149,5006,Jeffcott_St (2073),-34.90925160547326,138.59238638317802,bus,SA
10,BS150,5006,Park 01 - Golf Links (5016),-34.900554415577794,138.58894673395514,bus,SA
11,BS151,5006,Park 02 - Pardipardinyilla (5022),-34.90076064637663,138.58921622854038,bus,SA
12,BS152,5006,Melbourne St (1336),-34.91024048586358,138.6017460199548,bus,SA
13,BS153,5000,Park 13 - Rundle (5133),-34.92219407364665,138.6110068420503,bus,SA
14,BS154,5000,Park 23 - Wirrarninthi (5231),-34.94077096485075,138.58390844285262,bus,SA
15,BS155,5000,Park 22 - Wikaparntu Wirra (5223),-34.94102459893766,138.58422878208293,bus,SA
16,BS156,5000,Hutt St (1286),-34.93265518047136,138.61221067436256,bus,SA
17,BS157,5006,Park 12 - Karrawirra (5125),-34.91287413940705,138.60071385569336,bus,SA
18,BS158,5006,Sir Edwin Smith Ave (1432),-34.91262805726012,138.60054569107214,bus,SA
19,BS159,5000,Sturt_St (2078),-34.93353466594017,138.5900668432829,bus,SA
20,BS160,5000,Park 12 - Karrawirra (5125),-34.91455936903432,138.60477576791354,bus,SA
21,BS161,5006,Park 26 - Tarntanya Wama (5264),-34.91425976127061,138.59855349726655,bus,SA
22,BS162,5000,North Tce Dsc (1364),-34.921142022128926,138.6101397881381,bus,SA
23,BS163,5000,North Tce Dsc (1364),-34.92132540457741,138.60672223747116,bus,SA
24,BS164,5006,Wellington Sq (1496),-34.90645316935741,138.59215353985638,bus,SA
25,BS165,5000,North Tce Dsc (1364),-34.921431874779095,138.60447420347268,bus,SA
26,BS166,5000,King William St Dsc (2008),-34.926379894632035,138.59960057356173,bus,SA
27,BS167,5000,Grenfell St (2017),-34.92397604798718,138.60964463675347,bus,SA
28,BS168,5000,Sturt_St (2078),-34.93340697944296,138.58923446434062,bus,SA
29,BS169,5000,Sturt_St (2078),-34.93320589747813,138.59325244894342,bus,SA
30,BS170,5000,Gresham St (1259),-34.92175772945335,138.5986317405278,bus,SA
31,BS171,5000,Grenfell St Dsc (1257),-34.92443202379553,138.60110857542918,bus,SA
32,BS172,5000,Grenfell St (2017),-34.92387763884207,138.60704661912027,bus,SA
33,BS173,5000,Currie St Asc (1193),-34.92463708981803,138.59688838005593,bus,SA
34,BS174,5000,Reconciliation Plaza (3334),-34.9287632036085,138.60025526574077,bus,SA
35,BS175,5000,Reconciliation Plaza (3334),-34.92879773057378,138.59967315743668,bus,SA
36,BS176,5000,North Tce Dsc (1364),-34.92155387892756,138.60228114636953,bus,SA
37,BS177,5000,Grote St (1260),-34.928847525090035,138.5985795484098,bus,SA
38,BS178,5000,California St Nth (1585),-34.92894285708952,138.59659561910482,bus,SA
39,BS179,5006,King William Rd Asc (2004),-34.91146485499276,138.59915806345276,bus,SA
40,BS180,5000,North Tce Dsc (1364),-34.92183528179133,138.59716533065802,bus,SA
41,BS181,5000,Park 12 - Karrawirra (5125),-34.92059917173519,138.59951577259892,bus,SA
42,BS182,5000,King William Rd Dsc (1300),-34.92059621072319,138.5991644414913,bus,SA
43,BS183,5000,Park 12 - Karrawirra (5125),-34.920190514241426,138.59948505021617,bus,SA
44,BS184,5000,King William Rd Dsc (1300),-34.92022617913718,138.5991436005767,bus,SA
45,BS185,5000,Park 12 - Karrawirra (5125),-34.9208318244481,138.5995289778336,bus,SA
46,BS186,5000,King William Rd Dsc (1300),-34.921016577603226,138.59920450635295,bus,SA
47,BS187,5006,Melbourne St (1336),-34.90515549667729,138.6106118528199,bus,SA
48,BS188,5006,Melbourne St (1336),-34.90532529312647,138.610623261424,bus,SA
49,BS189,5006,Melbourne St (1336),-34.90982041739392,138.6025118337345,bus,SA
50,BS190,5000,North Tce Dsc (1364),-34.92089863850839,138.60926006798033,bus,SA
51,BS191,5000,King William St Asc (1301),-34.921940941117626,138.5996211449817,bus,SA
52,BS192,5000,King William St Dsc (2008),-34.92200645793375,138.59928760051673,bus,SA
53,BS193,5000,King William St Dsc (2008),-34.922430780249115,138.5993187720571,bus,SA
54,BS194,5000,King William St Asc (1301),-34.92248957930955,138.59966704889274,bus,SA
55,BS195,5000,Currie St Dsc (2016),-34.92446130108569,138.59622668101764,bus,SA
56,BS196,5000,King William St Dsc (2008),-34.92474984571411,138.59949897410308,bus,SA
57,BS197,5000,Currie St Dsc (2016),-34.92463275163329,138.59203801651086,bus,SA
58,BS198,5000,King William St Dsc (2008),-34.92509130901217,138.59952951682277,bus,SA
59,BS199,5000,Currie St Asc (1193),-34.92495032235384,138.59066592974585,bus,SA
60,BS200,5000,King William St Asc (1301),-34.92669715661938,138.59996421158874,bus,SA
61,BS201,5000,Victoria Sq (East Side King William Stto King William St (2066),-34.92766337811912,138.60045945280487,bus,SA
62,BS202,5000,Park - Victoria Square (5322),-34.92947025227204,138.59932056868766,bus,SA
63,BS203,5000,Victoria Sq (East Side King William Stto King William St (2066),-34.92978507190027,138.60045460190233,bus,SA
64,BS204,5000,Grenfell St (2017),-34.92413406508922,138.60667309962514,bus,SA
65,BS205,5000,Grenfell St Dsc (1257),-34.92423306315682,138.6005866542491,bus,SA
66,BS206,5000,Daly St 1 (1196),-34.9279783814417,138.61026115053295,bus,SA
67,BS207,5000,Wakefield St (1487),-34.92852622067338,138.6051595282029,bus,SA
68,BS208,5000,Grenfell St (2017),-34.92379211905579,138.60918919090443,bus,SA
69,BS209,5000,West Tce Asc (1498),-34.93433467203994,138.58845257071735,bus,SA
70,BS210,5000,Park 21 - Walyu Yarta (5211),-34.93637278543234,138.60025733186595,bus,SA
71,BS211,5000,Alfred St (1108),-34.93154770366185,138.58824263443543,bus,SA
72,BS212,5000,Peacock Rd Asc (1377),-34.93650321418694,138.60045469173386,bus,SA
73,BS213,5000,Hutt St (1286),-34.92844315827616,138.61190201323092,bus,SA
74,BS214,5000,Hutt St (1286),-34.934722896435595,138.61268237971825,bus,SA
75,BS215,5000,Grenfell St Dsc (1257),-34.923947956353416,138.60626059324665,bus,SA
76,BS216,5000,Park 12 - Karrawirra (5125),-34.92037136500782,138.60732096460802,bus,SA
77,BS217,5000,Currie St Asc (1193),-34.9245495453529,138.59863820839783,bus,SA
78,BS218,5000,Currie St Asc (1193),-34.9245906366123,138.59807568336694,bus,SA
79,BS219,5000,Grenfell St Dsc (1257),-34.92441391237987,138.6015127274755,bus,SA
80,BS220,5000,Pulteney St (1400),-34.93030607636132,138.60598912236782,bus,SA
81,BS221,5000,Pulteney St (1400),-34.93429481552745,138.60656664926398,bus,SA
82,BS222,5000,Grenfell St Dsc (1257),-34.924002069935085,138.60495794625317,bus,SA
83,BS223,5000,Wakefield St (1487),-34.92838806807806,138.60745912549874,bus,SA
84,BS224,5000,North Tce Dsc (1364),-34.92153733575312,138.59659543944178,bus,SA
85,BS225,5000,Currie St Asc (1193),-34.925022126737474,138.58910807138017,bus,SA
86,BS226,5000,Pulteney St (1400),-34.92445259523598,138.60554795973178,bus,SA
87,BS227,5000,Pulteney St (1400),-34.92479534870283,138.60586156159746,bus,SA
88,BS228,5000,Reconciliation Plaza (3334),-34.928510091344094,138.59967657103476,bus,SA
89,BS229,5000,Victoria Sq (1481),-34.92749111637983,138.5994335767504,bus,SA
90,BS230,5000,Victoria Sq (1481),-34.92772755729024,138.599290025968,bus,SA
91,BS231,5000,Victoria Sq (East Side King William Stto King William St (2066),-34.92745953489898,138.60028823391173,bus,SA
92,BS232,5000,Currie St Dsc (2016),-34.92467768019079,138.59146569984335,bus,SA
