id,stop_id,postcode,stop_name,stop_lat,stop_lon,mode,state_code
1,17977,3489,General Store/Sunraysia Hwy (Tempy),-35.345315,142.424803,bus,VIC
2,17978,3489,General Store/Sunraysia Hwy (Tempy),-35.344984000000004,142.424623,bus,VIC
3,17979,3488,Service Station/Sunraysia Hwy (Speed),-35.401944,142.438837,bus,VIC
4,17980,3488,Service Station/Sunraysia Hwy (Speed),-35.401785,142.438659,bus,VIC
5,17983,3487,Boree St/Sunraysia Hwy (Lascelles),-35.607881,142.579257,bus,VIC
6,17984,3487,Boree St/Sunraysia Hwy (Lascelles),-35.607846,142.57929199999998,bus,VIC
7,17985,3485,Woomelang Station/Sunraysia Hwy (Woomelang),-35.68247,142.664425,bus,VIC
8,17986,3485,Woomelang Station/Sunraysia Hwy (Woomelang),-35.682556,142.664299,bus,VIC
9,17987,3483,Memorial Park/Cumming Ave (Birchip),-35.981265,142.917912,bus,VIC
10,17989,3480,Post Office/Sunraysia Hwy (Donald),-36.370667,142.982667,bus,VIC
11,17991,3478,Dundas St/Market St (St Arnaud),-36.615295,143.25862,bus,VIC
12,17993,3472,Bull St/Broadway (Dunolly),-36.858352000000004,143.730788,bus,VIC
13,17997,3465,Havelock St/Clarendon St (Maryborough),-37.04705,143.73611499999998,bus,VIC
14,18000,3467,Post Office/Sunraysia Hwy (Avoca),-37.089019,143.473875,bus,VIC
15,18001,3467,Post Office/Sunraysia Hwy (Avoca),-37.088817999999996,143.474402,bus,VIC
16,1801,3467,199 High St (Avoca),-37.080859000000004,143.471251,bus,VIC
17,18671,3717,east of Pechell St/High St (Yea),-37.211162,145.423981,bus,VIC
18,18672,3718,General Store/Goulburn Valley Hwy (Molesworth),-37.167309,145.539051,bus,VIC
19,18673,3718,General Store/Goulburn Valley Hwy (Molesworth),-37.167347,145.539162,bus,VIC
20,18686,3737,Post Office/Myrtle St (Myrtleford),-36.561771,146.725695,bus,VIC
21,18689,3741,Alpine Hotel/Anderson St (Bright),-36.728352,146.960433,bus,VIC
22,18690,3698,Falls Creek Coaches/233 Kiewa Valley Hwy (Mount Beauty),-36.737986,147.160987,bus,VIC
23,19122,3555,Wesley St/High St (Kangaroo Flat),-36.803557,144.241999,bus,VIC
24,1937,3272,Webster St/Dunlop St (Mortlake),-38.080954,142.804804,bus,VIC
25,19517,3387,Green Creek Rd/Donald - Stawell Rd (Campbells Bridge),-36.916096,142.78557,bus,VIC
26,19521,3387,6006 Donald -Stawell Rd (Callawadda),-36.814146,142.785563,bus,VIC
27,19523,3387,Park Rd/Donald Stawell Rd (Marnoo),-36.671363,142.869764,bus,VIC
28,19552,3215,Douro St/Victoria St (North Geelong),-38.122555,144.348222,bus,VIC
29,19553,3215,Roseneath St/Victoria St (North Geelong),-38.12272,144.348364,bus,VIC
30,19793,3387,Park Rd/Donald Stawell Rd (Marnoo),-36.671409999999995,142.869829,bus,VIC
31,19794,3387,6003 Donald Stawell Rd (Callawadda),-36.81413,142.785642,bus,VIC
32,19795,3387,Greens Creek Rd/Donald -Stawell Rd (Campbells Bridge),-36.916243,142.785663,bus,VIC
33,19798,3380,Leisure Complex/Houston St (Stawell),-37.051524,142.779451,bus,VIC
34,19799,3380,Community Health Centre/Patrick St (Stawell),-37.055802,142.78373200000001,bus,VIC
35,20293,3350,Ballarat Railway Station (Ballarat Central),-37.558791,143.85945700000002,bus,VIC
36,20326,3446,Malmsbury Railway Station (Malmsbury),-37.18974,144.375323,bus,VIC
37,20354,3756,Wallan Railway Station (Wallan),-37.416536,145.005358,bus,VIC
38,20816,3429,Sunbury Railway Station (Sunbury),-37.579124,144.728552,bus,VIC
39,20818,3444,Kyneton Railway Station (Kyneton),-37.258059,144.45,bus,VIC
40,20830,3438,Gisborne Station/Early St (New Gisborne),-37.4592,144.598947,bus,VIC
41,20831,3431,Riddells Creek Railway Station (Riddells Creek),-37.464619,144.679812,bus,VIC
42,20832,3430,Clarkefield Railway Station (Clarkefield),-37.483424,144.74575900000002,bus,VIC
43,20856,3887,Ramsdell Ct/Princes Hwy (Nowa Nowa),-37.732313,148.091596,bus,VIC
44,20863,3891,opposite Genoa Hotel/Alexanders Rd (Genoa),-37.477219,149.588889,bus,VIC
45,20884,3463,Post Office/High St (Maldon),-36.995971999999995,144.068003,bus,VIC
46,20887,2736,General Store/Mallee Hwy (Tooleybuc (NSW)),-35.027902000000005,143.336798,bus,VIC
47,20889,3618,Caltex Service Station/Waverley Ave (Merrigum),-36.371854,145.132026,bus,VIC
48,20890,3557,Goornong Newsagency/Midland Hwy (Goornong),-36.614668,144.506845,bus,VIC
49,20901,3662,Family Store/Malaya Rd (Puckapunyal),-37.001333,145.039388,bus,VIC
50,20902,3880,Raymond Island Ferry Terminal/Devon Rd (Paynesville),-37.919101,147.725064,bus,VIC
51,20903,3844,Latrobe Regional Hospital (Traralgon),-38.219217,146.471552,bus,VIC
52,21188,3393,Scott St/Lyle St (Warracknabeal),-36.253337,142.395424,bus,VIC
53,21462,3825,Moe Railway Station (Moe),-38.177,146.260753,bus,VIC
54,21463,3824,Trafalgar Railway Station (Trafalgar),-38.207549,146.15483799999998,bus,VIC
55,21464,3816,Longwarry Railway Station (Longwarry),-38.111391999999995,145.76718400000001,bus,VIC
56,21465,3815,Bunyip Primary School/Nar Nar Goon-Longwarry Rd (Bunyip),-38.098907000000004,145.71471699999998,bus,VIC
57,21466,3814,Garfield Railway Station (Garfield),-38.091646999999995,145.67532,bus,VIC
58,21612,3350,The Avenue Motel/Sturt St (Alfredton),-37.548388,143.80091399999998,bus,VIC
59,21613,3350,Ranger Barracks/Sturt St (Alfredton),-37.546946000000005,143.797547,bus,VIC
60,21706,3818,Drouin Railway Station (Drouin),-38.13583,145.855055,bus,VIC
61,21708,3400,Horsham Railway Station (Horsham),-36.707809000000005,142.19993200000002,bus,VIC
62,21710,3887,Ramsdell Ct/Princes Hwy (Nowa Nowa),-37.733903000000005,148.089191,bus,VIC
63,22086,3779,Falls Rd/Pack Rd (Marysville),-37.510874,145.74709099999998,bus,VIC
64,22087,3711,Maroondah Hwy (Buxton),-37.423151000000004,145.708796,bus,VIC
65,22088,3711,Maroondah Hwy (Buxton),-37.421964,145.709054,bus,VIC
66,22089,3714,3321 Maroondah Hwy (Taggerty),-37.323564000000005,145.712105,bus,VIC
67,22090,3714,opp 3313 Maroondah Hwy (Taggerty),-37.323873,145.71235900000002,bus,VIC
68,22091,3714,54 Grant St (Alexandra),-37.190962,145.709077,bus,VIC
69,22093,3712,Taggerty-Thornton Rd/Goulburn Valley Hwy (Thornton),-37.254726,145.797498,bus,VIC
