id,stop_id,postcode,stop_name,stop_lat,stop_lon,mode,state_code
1,OOBUS003,0810,Casuarina Interchange,-12.37345,130.88048,bus,NT
2,OOBUS004,0810,Trower 004,-12.36928,130.88298,bus,NT
3,OOBUS005,0810,Delamere 005,-12.36686,130.88125,bus,NT
4,OOBUS006,0810,Willaroo 006,-12.364889999999999,130.88419,bus,NT
5,OOBUS007,0810,Henbury 007,-12.36167,130.88571000000002,bus,NT
6,OOBUS008,0810,Private Hospital 008,-12.35859,130.88279,bus,NT
7,OOBUS009,0810,Hospital Precinct,-12.356110000000001,130.8826,bus,NT
8,OOBUS010,0810,Rocklands 100,-12.35932,130.88215,bus,NT
9,OOBUS011,0810,10 Manbulloo 011,-12.360489999999999,130.88033000000001,bus,NT
10,OOBUS012,0810,Tiwi Shops,-12.36224,130.87688,bus,NT
11,OOBUS013,0810,Erldunda 013,-12.3653,130.87611,bus,NT
12,OOBUS014,0810,Trower 014,-12.3653,130.8729,bus,NT
13,OOBUS015,0810,Omeo Street,-12.36703,130.87133,bus,NT
14,OOBUS016,0810,Ellengowen 016,-12.36669,130.87389,bus,NT
15,OOBUS017,0810,Nakara Shops,-12.36946,130.87566999999999,bus,NT
16,OOBUS018,0810,Buchanan 018,-12.37168,130.87473,bus,NT
17,OOBUS019,0810,Ellengowen CDU 019,-12.37247,130.87245,bus,NT
18,OOBUS020,0810,Dripstone 020,-12.37372,130.87382,bus,NT
19,OOBUS021,0810,Nungalinya College 021,-12.37525,130.87577,bus,NT
20,OOBUS023,0810,Swimming Pool 023,-12.37355,130.88519,bus,NT
21,OOBUS024,0810,Gsell 024,-12.37053,130.8863,bus,NT
22,OOBUS025,0810,Tambling 025,-12.36611,130.88936999999999,bus,NT
23,OOBUS026,0810,Wanguri Shops 026,-12.36905,130.88948,bus,NT
24,OOBUS027,0810,Canaris 027,-12.37077,130.89061,bus,NT
25,OOBUS028,0810,Lee Point 028,-12.3698,130.89171000000002,bus,NT
26,OOBUS029,0812,VRD 028,-12.36887,130.89305,bus,NT
27,OOBUS030,0812,VRD 030,-12.370569999999999,130.89694,bus,NT
28,OOBUS031,0812,Leanyer 031,-12.37224,130.89856,bus,NT
29,OOBUS032,0812,Leanyer 032,-12.372589999999999,130.89961,bus,NT
30,OOBUS033,0812,Leanyer Primary School,-12.37546,130.90056,bus,NT
31,OOBUS034,0812,Leanyer 034,-12.37807,130.90195,bus,NT
32,OOBUS035,0812,Leanyer 035,-12.38021,130.90348999999998,bus,NT
33,OOBUS036,0812,Leanyer Drive,-12.38209,130.90253,bus,NT
34,OOBUS037,0812,Vanderlin 037,-12.38362,130.90264,bus,NT
35,OOBUS038,0812,Patterson 038,-12.3867,130.9034,bus,NT
36,OOBUS039,0812,Wulagi 039,-12.38476,130.89948,bus,NT
37,OOBUS040,0812,Wulagi Shops,-12.38389,130.89401,bus,NT
