id,stop_id,postcode,stop_name,stop_lat,stop_lon,mode,state_code
1,3086,7249,opp.No.11 Chifley St ,-41.46567133,147.1518811,train,TA
2,3016,7249,66B Poplar Pde ,-41.48890406,147.1751769,train,TA
3,3673,7290,17 Bartley St ,-41.50963757,147.06295459999998,train,TA
4,2825,7250,86A St John St ,-41.43797103,147.1393574,train,TA
5,3516,7249,13 Talbot Rd ,-41.449651,147.153286,train,TA
6,3263,7248,Mowbray / Vermont Rd ,-41.406552000000005,147.13450500000002,train,TA
7,3983,7250,North Riverside Terminus ,-41.39901187,147.08605319999998,train,TA
8,2910,7248,Stop 14  No.116 George Town Rd,-41.38858138,147.1269022,train,TA
9,4107,7250,Prospect High School ,-41.475429999999996,147.13089,train,TA
10,2832,7248,Stop 4  Invermay Rd,-41.42607518,147.1371136,train,TA
11,14052:1,7250,Sacred Heart ,-41.44329172,147.132205,train,TA
12,3010,7249,95 Poplar Pde ,-41.48713251,147.17827659999998,train,TA
13,3698,7250,4 Longvista Rd ,-41.45831697,147.0766833,train,TA
14,3207,7250,Hoblers Bridge Rd near Hart St ,-41.43932906,147.1671029,train,TA
15,3324,7250,2 Bridge Rd ,-41.44072639,147.1295948,train,TA
16,3274,7250,Opposite 32 Faraday St ,-41.42073714,147.1807237,train,TA
17,3214,7248,155 Vermont Rd ,-41.40920747,147.1504083,train,TA
18,3611,7250,448 Westbury Rd ,-41.4888466,147.1246601,train,TA
19,4401,7250,Stop 2  Brisbane St,-41.43330831,147.143975,train,TA
20,2828,7250,No.194 Charles St ,-41.44155946,147.1402786,train,TA
21,14117:1,7300,Illawarra Rd / Pateena Rd ,-41.576454,147.142109,train,TA
22,3041,7250,106 Bathurst St ,-41.44447216,147.137822,train,TA
23,3731,7290,57 South Esk Dr ,-41.5001925,147.0689545,train,TA
24,3716,7250,257 Peel St ,-41.47033122,147.1218561,train,TA
25,3257,7248,2 Wildor Cres ,-41.41424438,147.161017,train,TA
26,4375,7250,Home Point Pde (Royal Park) ,-41.43522174,147.1302104,train,TA
27,3283,7250,Opposite 32 Pitt Ave ,-41.43109232,147.10579380000001,train,TA
28,3653,7249,Westbury Rd / Norwich St ,-41.45826235,147.14600990000002,train,TA
29,14104:1,7302,Cressy Rd / Green Rises Rd ,-41.67201,147.083171,train,TA
30,3268,7250,4 Racecourse Cres ,-41.42994461,147.1476658,train,TA
31,3631,7249,197 Poplar Pde ,-41.47953322,147.18257659999998,train,TA
32,3475,7250,36 Salisbury Cres ,-41.456153,147.13165800000002,train,TA
33,3154,7250,Stop 19  277 Penquite Rd,-41.4606936,147.182315,train,TA
34,14012:1,7301,65 Marlborough St ,-41.601267,147.120034,train,TA
35,2837,7248,Stop 7  Invermay Rd,-41.41476593,147.1334699,train,TA
36,3614,7250,Opposite 321 Westbury Rd ,-41.47821859,147.1270227,train,TA
37,3164,7250,214 St Leonards Rd ,-41.45159218,147.1920603,train,TA
38,3371,7250,Opposite 61 Hardwicke St ,-41.46679162,147.1180937,train,TA
39,3209,7250,10 Hoblers Bridge Rd ,-41.44169177,147.1622658,train,TA
40,2860,7248,No.9 Lawson St ,-41.3889019,147.1335282,train,TA
41,3676,7290,Opposite 17 Bartley St ,-41.50949961,147.06273159999998,train,TA
42,3988,7250,No.348 West Tamar Rd ,-41.41047671,147.097824,train,TA
43,2967,7248,33 Mayne St ,-41.42061249,147.1321692,train,TA
