id,school_name,school_address,suburb,postcode,school_type,school_lat,school_lon
1,Franklin Early Childhood School,Oodgeroo Avenue,Franklin,2913,Early Childhood School,-35.200461,149.141327
2,Isabella Plains Early Childhood School,Ellerston Avenue,Isabella Plains,2905,Early Childhood School,-35.428716,149.089497
3,Lyons Early Childhood School,Tarraleah Crescent,Lyons,2606,Early Childhood School,-35.341633,149.076243
4,Narrabundah Early Childhood School,Kootara Crescent,Narrabundah,2604,Early Childhood School,-35.329016,149.150698
5,O'Connor Cooperative School,MacPherson Street,O'Connor,2602,Early Childhood School,-35.261994,149.120736
6,Southern Cross Early Childhood School,Wirraway Crescent,Scullin,2614,Early Childhood School,-35.232767,149.038363
7,Ainslie Preschool,Baker Gardens,Ainslie,2602,Preschool,-35.2549285,149.1468756
8,Amaroo Preschool,Burdekin Avenue,Amaroo,2914,Preschool,-35.1649299,149.1287001
9,Aranda Preschool,Gingana Street,Aranda,2614,Preschool,-35.2551738,149.0794239
10,Bonython Preschool,Hurtle Avenue,Bonython,2905,Preschool,-35.431126,149.0831991
11,Calwell Preschool,Casey Crescent,Calwell,2905,Preschool,-35.4349544,149.1134679
12,Campbell Preschool,Chauvel Street,Campbell,2612,Preschool,-35.289871,149.156207
13,Chapman Preschool,Perry Drive,Chapman,2611,Preschool,-35.3563115,149.0430219
14,Charles Conder Preschool,Tom Roberts Avenue,Conder,2906,Preschool,-35.4643995,149.0987421
15,Charnwood-Dunlop Preschool,Bettington Circuit,Charnwood,2615,Preschool,-35.1989475,149.0360739
16,Chifley Preschool Torrens Primary School,Maclaurin Crescent,Chifley,2606,Preschool,-35.351831,149.0787274
17,Chisholm Preschool,Hambidge Street,Chisholm,2905,Preschool,-35.4177195,149.1210468
18,Curtin North Preschool,Ayers Street,Curtin,2605,Preschool,-35.3241941,149.0795648
19,Curtin South Preschool,Carruthers Street,Curtin,2605,Preschool,-35.3305158,149.0801412
20,Deakin Preschool - Forrest Primary School,Hopetoun Street,Deakin,2603,Preschool,-35.3145743,149.1257949
21,Downer Preschool - Lyneham Primary School,Cotton Street,Downer,2602,Preschool,-35.2514401,149.1259021
22,Duffy Preschool,Burrinjuck Crescent,Duffy ,2611,Preschool,-35.3348363,149.033244
