id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon
1001,Abbotsford Public School,350 Great North Rd,Abbotsford ,2046,Goverment,Primary School,-33.852728000000006,151.131206
1002,Aberdeen Public School,Segenhoe St,Aberdeen,2336,Goverment,Primary School,-32.166098,150.888095
1003,Abermain Public School,Goulburn St,Abermain ,2326,Goverment,Primary School,-32.80892,151.426499
1007,Adaminaby Public School,9 Cosgrove Street,Adaminaby,2629,Goverment,Primary School,-35.993292,148.776721
1008,Adamstown Public School,Bryant St,Adamstown ,2289,Goverment,Primary School,-32.932213,151.73097099999998
1009,Adelong Public School,Gilmore St,Adelong ,2729,Goverment,Primary School,-35.312333,148.062802
1015,Albion Park Public School,Tongarra & Hamilton Rds,Albion Park ,2527,Goverment,Primary School,-34.570257,150.77262
1016,Timbumburi Public School,542 Kia Ora Lane,Timbumburi ,2340,Goverment,Primary School,-31.203781,150.915629
1017,Albury Public School,481 David St,Albury ,2640,Goverment,Primary School,-36.082454,146.919253
1019,Albury West Public School,Mott St,Albury ,2640,Goverment,Primary School,-36.07783,146.895548
1028,Alma Public School,Comstock St,Broken Hill ,2880,Goverment,Primary School,-31.982217,141.462443
1030,Alstonville Public School,Main St,Alstonville ,2477,Goverment,Primary School,-28.838471000000002,153.438172
1040,Anna Bay Public School,191 Gan Gan Rd,Anna Bay ,2316,Goverment,Primary School,-32.77637,152.089912
1041,Annandale Public School,25 Johnston St,Annandale ,2038,Goverment,Primary School,-33.885782,151.169599
1042,Annandale North Public School,206 Johnston St,Annandale ,2038,Goverment,Primary School,-33.877905,151.17183500000002
1045,Appin Public School,97 Appin Road,Appin,2560,Goverment,Primary School,-34.198417,150.78766000000002
1048,Arcadia Public School,140 Arcadia Road,Arcadia,2159,Goverment,Primary School,-33.623487,151.051031
1051,Ardlethan Central School,Mithul St,Ardlethan ,2665,Goverment,Central/Community School,-34.354098,146.90055700000002
1055,Ariah Park Central School,Reid St,Ariah Park ,2665,Goverment,Central/Community School,-34.346925,147.218018
1057,Armidale City Public School,Faulkner St,Armidale ,2350,Goverment,Primary School,-30.519501,151.66405600000002
1058,Drummond Memorial Public School,250 Rusden Street,Armidale,2350,Goverment,Primary School,-30.511469,151.650715
1061,Artarmon Public School,McMillan Rd,Artarmon ,2064,Goverment,Primary School,-33.811249,151.186001
1064,Ashbury Public School,Trevenar St,Ashbury,2193,Goverment,Primary School,-33.898833,151.11944
1065,Ashfield Public School,Liverpool Rd,Ashfield ,2131,Goverment,Primary School,-33.889723,151.12821
1066,Ashford Central School,Albury St,Ashford ,2361,Goverment,Central/Community School,-29.321262,151.09463799999997
1070,Asquith Public School,Dudley St,Asquith,2077,Goverment,Primary School,-33.685728999999995,151.112177
1071,Attunga Public School,Railway St,Attunga ,2345,Goverment,Primary School,-30.930445000000002,150.846575
1073,Auburn North Public School,100 Adderley St,Auburn ,2144,Goverment,Primary School,-33.841669,151.03861799999999
1075,Auburn West Public School,Chiswick Rd,Auburn ,2144,Goverment,Primary School,-33.860931,151.01976399999998
1076,Austinmer Public School,90 Lawrence Hargrave Drive,Austinmer ,2515,Goverment,Primary School,-34.305398,150.934991
1077,Austral Public School,219 Edmondson Avenue,Austral,2179,Goverment,Primary School,-33.934487,150.812638
