id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon
1,Abbotsleigh,1666 Pacific Highway,Wahroonga,2076,Independent,Combined,-33.719891,151.111345
2,All Hallows School,Bayly Street,Gulgong,2852,Catholic,Primary,-32.361340000000006,149.53096499999998
3,All Hallows Catholic Primary School,1 Halley St,Five Dock,2046,Catholic,Primary,-33.860896999999994,151.133872
4,All Saints College,Ophir Road,Bathurst,2795,Independent,Combined,-33.399074,149.564889
5,All Saints Primary School,Murray Street,Tumbarumba,2653,Catholic,Primary,-35.775636999999996,148.012444
6,Arden Anglican School,39-43 Wongala Crescent,Beecroft,2119,Independent,Combined,-33.746393,151.065133
7,Ascham School Ltd,188 New South Head Rd,Edgecliff,2027,Independent,Combined,-33.877077,151.23623700000002
8,The Assumption School,192 Mitre Street,Bathurst West,2795,Catholic,Primary,-33.411773,149.566954
9,Bethlehem College,18 Bland Street,Ashfield,2131,Catholic,Secondary,-33.885622,151.12496299999998
10,Henschke Primary School,105 Fernleigh Road,Wagga Wagga,2650,Catholic,Primary,-35.131374,147.352069
11,St Oliver's Primary School,33 Wigram Street,Harris Park,2150,Catholic,Primary,-33.824515999999996,151.008984
12,Blessed Sacrament Catholic Primary School,2 Queen Street,Clifton Gardens,2088,Catholic,Primary,-33.835101,151.24453799999998
13,Blue Mountains Grammar School,Matcham Avenue,Wentworth Falls,2782,Independent,Combined,-33.708453999999996,150.370541
14,Brigidine College  St Ives,325 Mona Vale Road,St Ives,2075,Independent,Secondary,-33.721615,151.17269
15,Brigidine College Randwick,6 Aeolia Street,Randwick,2031,Catholic,Secondary,-33.919181,151.243928
16,St Patrick's Parish School,Vale & Murray Streets,Cooma,2630,Catholic,Combined,-36.238065999999996,149.126353
17,Catherine McAuley Westmead,Darcy Road,Westmead,2145,Catholic,Secondary,-33.804721,150.984486
18,Mercy Catholic College,101 Archer St,Chatswood,2067,Catholic,Secondary,-33.792968,151.18458700000002
19,Sacred Heart School,Morris Street,Cootamundra,2590,Catholic,Combined,-34.634589,148.030567
20,Marian Catholic College,185 Wakaden Street,Griffith,2680,Catholic,Secondary,-34.286778999999996,146.05828300000002
21,Central Coast Adventist School,Penrose Crescent,Erina,2250,Independent,Combined,-33.43634,151.38973000000001
22,Cerdon College,Sherwood Road,Merrylands,2160,Catholic,Secondary,-33.837664000000004,150.968322
23,Chevalier College,11 Charlotte Street,Burradoo,2576,Independent,Secondary,-34.506824,150.405476
24,Southern Cross Catholic Vocational College,17 Comer Street,Burwood,2134,Catholic,Secondary,-33.871725,151.103225
25,Christian Brothers High School,68 The Boulevarde,Lewisham,2049,Independent,Combined,-33.897141999999995,151.145781
26,St Mary's Cathedral College,St Mary'S Road,Sydney,2000,Catholic,Combined,-33.871288,151.213998
27,St Paul's Catholic College,Darley Road,Manly,2095,Catholic,Secondary,-33.805199,151.29163300000002
28,Christ The King Catholic School Bass Hill,2 Cantrell Street,Yagoona,2199,Catholic,Primary,-33.906086,151.012986
29,Newcastle Grammar School,60 Newcomen St,Newcastle,2300,Independent,Combined,-32.929914000000004,151.78016200000002
30,Claremont College,30-32 Coogee Bay Road,Randwick,2031,Independent,Primary,-33.918233,151.244594
31,Kincoppal-Rose Bay School of the Sacred Heart,New South Head Road,Rose Bay,2029,Independent,Combined,-33.864133,151.271996
32,Coogee Boys' Preparatory School,Cnr Cook and Alison Road,Randwick,2031,Independent,Primary,-33.912015000000004,151.238686
33,Corpus Christi Catholic Primary School,17 Link Road,St Ives,2075,Catholic,Primary,-33.728293,151.16603
34,Corpus Christi Primary School,Platt Street,Waratah,2298,Catholic,Primary,-32.900845000000004,151.723195
35,Cranbrook School,5 Victoria Road,Bellevue Hill,2023,Independent,Combined,-33.871697999999995,151.251993
36,Currambena School,205 Longueville Road,Lane Cove,2066,Independent,Primary,-33.820807,151.170301
37,Danebank School,84-98 Park Rd & 75 Queens Rd,Hurstville,2220,Independent,Combined,-33.962508,151.102756
38,De La Salle College,24 Bland St,Ashfield,2131,Catholic,Secondary,-33.885212,151.12536599999999
39,La Salle Catholic College,544 Chapel Rd,Bankstown,2200,Catholic,Secondary,-33.90808,151.034897
40,"De La Salle Catholic College, Caringbah",389 Port Hacking Road,Caringbah,2229,Catholic,Secondary,-34.045089000000004,151.12243899999999
41,De La Salle College,9 Ferndale Road,Revesby Heights,2212,Catholic,Secondary,-33.963328999999995,151.015616
42,Mackillop College,Gorman'S Hill Road,Bathurst,2795,Catholic,Secondary,-33.432524,149.58828400000002
43,Domremy Catholic College,121 First Avenue,Five Dock,2046,Catholic,Secondary,-33.869709,151.132909
44,Edmund Rice College,112 Mount Keira Road,Wollongong West,2500,Independent,Secondary,-34.419125,150.863596
45,Elonera Montessori School,21 Mount Ousley Road,Mount Ousley,2519,Independent,Combined,-34.407737,150.887415
46,Frensham School,Range Road,Mittagong,2575,Independent,Secondary,-34.452408,150.45232099999998
47,Gib Gate School,Old Bowral Rd,Mittagong,2575,Independent,Primary,-34.454371,150.429814
48,Glenaeon Rudolf Steiner School,5A Glenroy Avenue,Middle Cove,2068,Independent,Combined,-33.791478999999995,151.208694
49,St Augustine's Parish Primary School,10 Dandaloo St,Narromine,2821,Catholic,Primary,-32.227799,148.23986599999998
50,Holy Cross College,517 Victoria Road,Ryde,2112,Catholic,Secondary,-33.819607,151.117446
51,Holy Cross Catholic Primary School,81 Edgecliff Road,Woollahra,2022,Catholic,Primary,-33.889857,151.25198500000002
52,Holy Cross Primary School,326 Lake Rd,Glendale,2285,Catholic,Primary,-32.925591,151.644715
53,Holy Cross Catholic Primary School,1 Mcmillan Street,Helensburgh,2508,Catholic,Primary,-34.186510999999996,150.986895
54,Holy Family Primary School,199 The Trongate,Granville East,2142,Catholic,Primary,-33.847668,151.011135
55,Holy Family Catholic Primary School,2-4 Highfield Road,Lindfield,2070,Catholic,Primary,-33.773994,151.165844
56,Holy Family Primary School,19 Janet Street,Merewether Beach,2291,Catholic,Primary,-32.948935999999996,151.753398
57,Holy Innocents' Catholic Primary School,86-98 Queen Street,Croydon,2132,Catholic,Primary,-33.876215,151.113518
58,Holy Name Primary School,41 Lake Street,Forster,2428,Catholic,Primary,-32.182848,152.517788
59,Holy Spirit Primary School,Mutsch Street,Lavington,2641,Catholic,Primary,-36.037908,146.93483700000002
60,Holy Trinity School,Moore Street,Inverell,2360,Catholic,Combined,-29.779152000000003,151.130976
61,Holy Trinity West Wagga,13 Bardia Street,Ashmont,2650,Catholic,Primary,-35.125111,147.334402
62,Holy Trinity Primary School,Grimwood Street,Granville,2142,Catholic,Primary,-33.835021999999995,151.00161200000002
63,The Illawarra Grammar School,10-12 Western Ave,West Wollongong,2500,Independent,Combined,-34.428141,150.87076499999998
64,Immaculate Heart of Mary Catholic Primary School,10 Kerrinea Road,Sefton,2162,Catholic,Primary,-33.887156,151.008747
65,Kambala,794 New South Head Road,Rose Bay,2029,Independent,Combined,-33.865613,151.272108
66,Kinma School,127 Coolowie Road,Terrey Hills,2084,Independent,Primary,-33.686607,151.216969
67,Kinross Wolaroi School,59-67 Bathurst Road,Orange,2800,Independent,Combined,-33.290963,149.11314
68,Knox Grammar School,Pacific Highway,Wahroonga,2076,Independent,Combined,-33.72254,151.118596
69,La Salle Academy,Rabaul St,Lithgow,2790,Catholic,Secondary,-33.495532,150.133152
70,Loreto Kirribilli,85 Carabella St,Kirribilli,2061,Independent,Combined,-33.847115,151.215953
71,Loreto Normanhurst,91-93 Pennant Hills Road,Normanhurst,2076,Independent,Combined,-33.721001,151.101132
72,Lorien Novalis School for Rudolf Steiner Education,456 Old Northern Road,GLENHAVEN,2156,Independent,Combined,-33.702607,151.014572
73,McAuley Catholic Primary School,8 Carlisle St,Rose Bay,2029,Catholic,Primary,-33.870578,151.27203500000002
74,Macksville Adventist School,Dudley Street,Macksville,2447,Independent,Primary,-30.709738,152.927269
75,Macarthur Adventist College,12 Victoria Road,Macquarie Fields,2564,Independent,Combined,-33.98353,150.885188
76,Marcellin College,195 Alison Road,Randwick,2031,Catholic,Secondary,-33.913571000000005,151.240721
77,Maria Regina Catholic Primary School,42 Central Road,Avalon Beach,2107,Catholic,Primary,-33.633492,151.33053999999998
78,Marist College Kogarah,52 Wolseley St,Bexley,2207,Catholic,Secondary,-33.958304,151.130397
79,Marist College,44 Hillview Road,Eastwood,2122,Catholic,Secondary,-33.789442,151.0772
80,Marist Catholic College Penshurst,65 Victoria Avenue,Mortdale,2223,Catholic,Secondary,-33.967665999999994,151.083278
81,Champagnat Catholic College,35 Donovan Avenue,Maroubra,2035,Catholic,Secondary,-33.946605,151.229064
82,Marist College North Shore,270 Miller Street,North Sydney,2060,Catholic,Secondary,-33.831804,151.20810500000002
83,Sacred Heart Catholic Primary School,8 Cardinal St,Mosman,2088,Catholic,Primary,-33.824564,151.236298
84,St Joseph's College,Mark Street,Hunters Hill,2110,Independent,Secondary,-33.830728,151.138935
