id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon
5817,A B Paterson College (Arundel),10 A B Paterson Drive,Arundel,4214,Independent,Prep Year to Year 12,-27.927671999999998,153.36036399999998
591,Abercorn State School,957 Wuruma Dam Road,Abercorn,4627,State,Prep Year to Year 6,-25.135955,151.12703100000002
1275,Abergowrie State School,5 Venables Road,Abergowrie,4850,State,Prep Year to Year 6,-18.474697,145.88351
5588,Aboriginal & Islander Independent Community School (Acacia Ridge),1277 Beaudesert Road,Acacia Ridge,4110,Independent,Prep Year to Year 12,-27.581561999999998,153.025757
25,Acacia Ridge State School,Nyngam Street,Acacia Ridge,4110,State,Early Childhood to Year 6,-27.579553999999998,153.016074
1983,Agnes Water State School,1 Donohue Drive,Agnes Water,4677,State,Prep Year to Year 6,-24.213972000000002,151.91056
598,Airville State School,Old Clare Road,Airville,4807,State,Prep Year to Year 6,-19.65519,147.347629
801,Aitkenvale State School,67-85 Wotton Street,Aitkenvale,4814,State,Prep Year to Year 6,-19.296785,146.763058
2155,Albany Creek State High School,Albany Forest Drive,Albany Creek,4035,State,Year 7 to Year 12,-27.357634,152.968606
190,Albany Creek State School,696 Albany Creek Road,Albany Creek,4035,State,Prep Year to Year 6,-27.34586,152.970666
1892,Albany Hills State School,Keong Road,Albany Creek,4035,State,Prep Year to Year 6,-27.36034,152.97278
5636,Albert Park Flexible Learning Centre (Milton),1 Hale Street,Milton,4064,Catholic,Year 11 to Year 12,-27.4659,153.01081299999998
38,Albert State School,210-220 Albert Street,Maryborough,4650,State,Prep Year to Year 6,-25.546785,152.70388799999998
2017,Aldridge State High School,Boys Avenue,Maryborough,4650,State,Year 7 to Year 12,-25.516557000000002,152.688545
1963,Alexandra Bay State School,Lot 1 Cape Tribulation Road,Diwan,4873,State,Early Childhood to Year 6,-16.213862,145.42225
2175,Alexandra Hills State High School,Windemere Road,Alexandra Hills,4161,State,Year 7 to Year 12,-27.523768,153.215428
405,Alexandra Hills State School,12 Princeton Avenue,Alexandra Hills,4161,State,Prep Year to Year 6,-27.518140999999996,153.221279
1866,Algester State School,19 Endiandra Street,Algester,4115,State,Prep Year to Year 6,-27.615675,153.031915
5369,All Hallows' School (Brisbane),547 Ann Street,Brisbane,4000,Catholic,Year 5 to Year 12,-27.460894,153.032816
5452,All Saints Anglican School (Merrimac),Highfield Drive,Merrimac,4226,Independent,Prep Year to Year 12,-28.060893,153.361156
5600,All Saints Primary School (Albany Creek),4 Faheys Road East,Albany Creek,4035,Catholic,Prep Year to Year 6,-27.350094,152.97069299999998
5111,All Saints' School (Boonah),15 Oliver Street,Boonah,4310,Catholic,Prep Year to Year 6,-28.000349,152.686423
5451,All Souls St Gabriels School (Charters Towers),30 Dr George Ellis Drive,Charters Towers,4820,Independent,Prep Year to Year 12,-20.062721,146.276724
155,Allenstown State School,Upper Dawson Road,Allenstown,4700,State,Prep Year to Year 6,-23.391906,150.502671
773,Alligator Creek State School,50 Grasstree Road,Alligator Creek,4740,State,Prep Year to Year 6,-21.329398,149.21155900000002
3,Allora P-10 State School,21 Warwick Street,Allora,4362,State,Prep Year to Year 10,-28.036194000000002,151.986183
430,Alloway State School,4334 Goodwood Road,Alloway,4670,State,Prep Year to Year 6,-24.952136,152.378285
870,Aloomba State School,Nielsen Street,Aloomba,4871,State,Prep Year to Year 6,-17.10984,145.831978
517,Alpha State School,Milton Street,Alpha,4724,State,Prep Year to Year 10,-23.650791,146.64226299999999
9628,Alta-1 College (Caboolture),94 Parish Road,Caboolture,4510,Independent,Year 11 to Year 12,-27.071032000000002,152.941507
1719,Amamoor State School,2 Elizabeth Street,Amamoor,4570,State,Prep Year to Year 6,-26.346411,152.67315
115,Amberley District State School,37 Deebing Creek Road,Yamanto,4305,State,Prep Year to Year 6,-27.657490000000003,152.75014099999999
1415,Ambrose State School,39 Gentle Annie Road,Ambrose,4695,State,Prep Year to Year 6,-23.786492000000003,150.92189299999998
5077,Ambrose Treacy College (Indooroopilly),Twigg Street,Indooroopilly,4068,Catholic,Year 4 to Year 12,-27.507571000000002,152.966903
1629,Amiens State School,1337 Amiens Road,Amiens,4380,State,Prep Year to Year 6,-28.594568,151.812654
474,Anakie State School,Cook Street,The Gemfields,4702,State,Prep Year to Year 6,-23.554011,147.745856
1572,Andergrove State School,Fernleigh Avenue,Andergrove,4740,State,Prep Year to Year 6,-21.086247,149.188241
A057,Angelorum College (Fortitude Valley),377 St Pauls Terrace,Fortitude Valley,4006,Independent,Prep Year to Year 10,-27.455603999999997,153.032768
5446,Anglican Church Grammar School (East Brisbane),Oaklands Parade,East Brisbane,4169,Independent,Prep Year to Year 12,-27.481659999999998,153.051077
5573,Annandale Christian College (Annandale),104-156 Yolanda Drive,Annandale,4814,Independent,Prep Year to Year 12,-19.312706,146.78026
440,Annandale State School,Cnr Oleander Street & Yolanda Drive,Annandale,4814,State,Prep Year to Year 6,-19.315285,146.778441
1294,Applethorpe State School,25576 New England Highway,Applethorpe,4378,State,Prep Year to Year 6,-28.612562,151.955354
5316,Aquinas College (Ashmore),Edmund Rice Drive,Ashmore,4214,Catholic,Year 7 to Year 12,-27.97591,153.382676
312,Aramac State School,69 Porter Street,Aramac,4726,State,Early Childhood to Year 10,-22.974429,145.242684
1266,Aratula State School,41 Elizabeth Street,Aratula,4309,State,Prep Year to Year 6,-27.980839000000003,152.544186
9087,Arcadia College (Varsity Lakes),1 Bellvue Drive,Varsity Lakes,4227,Independent,Year 7 to Year 12,-27.96367,153.41231100000002
