id,school_name,school_address,suburb,postcode,school_lat,school_lon,Category,Subtype,school_type,sector
102,East Murray Area School,1182 East Murray Area School Road,Mindarie,5309,-34.815955,140.216073,SCHL,AREA,Area Schools,DEPT
104,Coromandel Valley Primary School,339 Main Road,Coromandel Valley,5051,-35.033562,138.626758,SCHL,PS,Primary Schools,DEPT
105,Glossop High School Senior Campus,50 Burgess Drive,Berri,5343,-34.27940174,140.61287958,SCHL,HIGH,High/Secondary Schools,DEPT
106,Cowandilla Primary School,21 Jenkins Street,Cowandilla,5033,-34.934543,138.558874,SCHL,PS,Primary Schools,DEPT
107,Crafers Primary School,55 Piccadilly Road,Crafers,5152,-34.993387,138.71348,SCHL,PS,Primary Schools,DEPT
111,Crystal Brook Primary School,7 Mitchell Street,Crystal Brook,5523,-33.352948,138.213543,SCHL,PS,Primary Schools,DEPT
114,Curramulka Primary School,Sixth Street,Curramulka,5580,-34.695502,137.713697,SCHL,PS,Primary Schools,DEPT
116,Murray Bridge Special School,1 North Terrace,Murray Bridge,5253,-35.115681,139.269869,SCHL,SPPRM,Primary Special Schools,DEPT
120,Gilles Street Primary School,91 Gilles Street,Adelaide,5000,-34.93449,138.604464,SCHL,PS,Primary Schools,DEPT
123,Echunga Primary School,802 Echunga Road,Echunga,5153,-35.097706,138.79085,SCHL,PS,Primary Schools,DEPT
124,Eden Hills Primary School,78 Wilpena Street,Eden Hills,5050,-35.020546,138.595317,SCHL,PS,Primary Schools,DEPT
127,Edwardstown Primary School,Maria Street,Melrose Park,5039,-34.978729,138.57801,SCHL,PS,Primary Schools,DEPT
128,Elliston Area School,Flinders Highway,Elliston,5670,-33.644153,134.892451,SCHL,AREA,Area Schools,DEPT
131,Norwood Primary School,37 Osmond Terrace,Norwood,5067,-34.91953508,138.63164129,SCHL,PS,Primary Schools,DEPT
135,Flinders Park Primary School,70 Holbrooks Road,Flinders Park,5025,-34.911103,138.54754,SCHL,PS,Primary Schools,DEPT
136,Lenswood Primary School,1554 Lobethal Road,Lenswood,5240,-34.921667,138.824005,SCHL,PS,Primary Schools,DEPT
138,Frances Primary School,23 Barrett Road,Frances,5262,-36.708483,140.956465,SCHL,PS,Primary Schools,DEPT
139,Freeling Primary School,Coulls Street,Freeling,5372,-34.457881,138.811701,SCHL,PS,Primary Schools,DEPT
141,Gawler Primary School,School Road,Gawler,5118,-34.597541,138.740692,SCHL,PS,Primary Schools,DEPT
142,Evanston Gardens Primary School,71 Angle Vale Road,Evanston Gardens,5116,-34.623986,138.720025,SCHL,PS,Primary Schools,DEPT
145,Geranium Primary School,1-3 Geranium Terrace,Geranium,5301,-35.378728,140.160067,SCHL,PS,Primary Schools,DEPT
146,Windsor Gardens B-12 Beatty Ave Camp,Beatty Avenue,Hillcrest,5086,-34.858428,138.651763,SCHL,PS,Primary Schools,DEPT
147,Gladstone Primary School,2 West Terrace,Gladstone,5473,-33.266137,138.350584,SCHL,PS,Primary Schools,DEPT
148,Glenburnie Primary School,36 Kromelite Road,Glenburnie,5291,-37.84041,140.863876,SCHL,PS,Primary Schools,DEPT
152,Glen Osmond Primary School,5 Fisher Street,Myrtle Bank,5064,-34.957051,138.637255,SCHL,PS,Primary Schools,DEPT
153,Glossop Primary Community School K-7,Mitchell Terrace,Glossop,5344,-34.271342,140.524768,SCHL,PS,Primary Schools,DEPT
156,Goodwood Primary School,140 Goodwood Road,Goodwood,5034,-34.951434,138.588694,SCHL,PS,Primary Schools,DEPT
157,Goolwa Primary School,Gardiner Street,Goolwa,5214,-35.497553,138.780252,SCHL,PS,Primary Schools,DEPT
160,Greenock Primary School,Bevan Street,Greenock,5360,-34.459939,138.921793,SCHL,PS,Primary Schools,DEPT
162,Gumeracha Primary School,Albert Street,Gumeracha,5233,-34.824981,138.880956,SCHL,PS,Primary Schools,DEPT
163,Hahndorf Primary School,12 Church Street,Hahndorf,5245,-35.027625,138.810629,SCHL,PS,Primary Schools,DEPT
167,Hamley Bridge Primary School,13 Florence Street,Hamley Bridge,5401,-34.354549,138.684929,SCHL,PS,Primary Schools,DEPT
169,Rose Park Primary School,54 Alexandra Avenue,Rose Park,5067,-34.93161,138.628893,SCHL,PS,Primary Schools,DEPT
171,Happy Valley Primary School,18 Education Road,Happy Valley,5159,-35.087062,138.583603,SCHL,PS,Primary Schools,DEPT
175,Hawker Area School,Arkaba Street,Hawker,5434,-31.89042,138.427892,SCHL,AREA,Area Schools,DEPT
176,Heathfield Primary School,201 Longwood Road,Heathfield,5153,-35.03002,138.727311,SCHL,PS,Primary Schools,DEPT
177,Henley Beach Primary School,38 Hazel Terrace,Henley Beach South,5022,-34.929734,138.499429,SCHL,PS,Primary Schools,DEPT
179,North Adelaide Primary School,62-80 Tynte Street,North Adelaide,5006,-34.905096,138.597558,SCHL,PS,Primary Schools,DEPT
194,Jervois Primary School,Rayson Street,Jervois,5259,-35.266177,139.437094,SCHL,PS,Primary Schools,DEPT
195,Youth Education Centre,26-56 Goldsborough Road,Cavan,5094,-34.828265,138.60253,SCHL,ALTSC,Alternative Prim/Sec Schools,DEPT
197,Kalangadoo Primary School,48B Kangaroo Flat Road,Kalangadoo,5278,-37.564684,140.695568,SCHL,PS,Primary Schools,DEPT
198,Kangarilla Primary School,33-35 McLaren Flat Road,Kangarilla,5157,-35.147815,138.659484,SCHL,PS,Primary Schools,DEPT
200,Kapunda Primary School,Mildred Street,Kapunda,5373,-34.337951,138.918029,SCHL,PS,Primary Schools,DEPT
202,Alberton Primary School,14 Broad Street,Queenstown,5014,-34.862675,138.51264,SCHL,PS,Primary Schools,DEPT
204,Kersbrook Primary School,Bowden Street,Kersbrook,5231,-34.782306,138.849719,SCHL,PS,Primary Schools,DEPT
205,Keyneton Primary School,Henschke Road,Keyneton,5353,-34.554333,139.1338,SCHL,PS,Primary Schools,DEPT
207,Kilkenny Primary School,Jane Street,West Croydon,5008,-34.890764,138.552731,SCHL,PS,Primary Schools,DEPT
209,Kingston-on-Murray Primary School,East Terrace,Kingston on Murray,5331,-34.222619,140.346866,SCHL,PS,Primary Schools,DEPT
210,Aldgate Primary School,3 Fairview Road,Aldgate,5154,-35.019502,138.748939,SCHL,PS,Primary Schools,DEPT
211,Kongorong Primary School,34 School Road,Kongorong,5291,-37.902241,140.560875,SCHL,PS,Primary Schools,DEPT
212,Koolunga Primary School,N/A,Koolunga,5464,-33.580835,138.335026,SCHL,PS,Primary Schools,DEPT
214,Mid North Education Centre,David Street,Port Pirie,5540,-33.17503,138.005415,SCHL,SPPS,Primary/Secondary Special Schools,DEPT
218,Eastern Fleur Langhorne Creek Campus,Wellington Road,Langhorne Creek,5255,-35.296945,139.035993,SCHL,PS,Primary Schools,DEPT
219,Largs Bay School,215 Fletcher Road,Largs Bay,5016,-34.823557,138.49427,SCHL,PS,Primary Schools,DEPT
220,Laura Primary School,East Terrace,Laura,5480,-33.187073,138.303714,SCHL,PS,Primary Schools,DEPT
221,Le Fevre Peninsula Primary School,Shorney Street,Birkenhead,5015,-34.840072,138.495412,SCHL,PS,Primary Schools,DEPT
222,Aldinga Beach B-7 School,Quinliven Road,Aldinga,5173,-35.268942,138.461849,SCHL,PS,Primary Schools,DEPT
223,Light Pass Primary School,395 Light Pass Road,Light Pass,5355,-34.46919,139.025019,SCHL,PS,Primary Schools,DEPT
225,Littlehampton Primary School,16-30 Baker Street,Littlehampton,5250,-35.049605,138.868025,SCHL,PS,Primary Schools,DEPT
227,Lobethal Primary School,1 School Road,Lobethal,5241,-34.90169,138.871723,SCHL,PS,Primary Schools,DEPT
230,Lock Area School,West Terrace,Lock,5633,-33.567909,135.753344,SCHL,AREA,Area Schools,DEPT
231,Lockleys Primary School,29 Elston Street,Brooklyn Park,5032,-34.930203,138.535095,SCHL,PS,Primary Schools,DEPT
237,Lyndoch Primary School,Margaret Street,Lyndoch,5351,-34.60554,138.885678,SCHL,PS,Primary Schools,DEPT
239,Macclesfield Primary School,Luck Street,Macclesfield,5153,-35.171357,138.838503,SCHL,PS,Primary Schools,DEPT
241,Mallala Primary School,28 Owen Road,Mallala,5502,-34.434716,138.510526,SCHL,PS,Primary Schools,DEPT
242,Angaston Primary School,5 Moculta Road,Angaston,5353,-34.499092,139.050833,SCHL,PS,Primary Schools,DEPT
245,Manoora Primary School,3 Weymouth Street,Manoora,5414,-34.006284,138.814121,SCHL,PS,Primary Schools,DEPT
248,Marree Aboriginal School,First Street,Marree,5733,-29.649196,138.061033,SCHL,ABSCH,Aboriginal Schools,DEPT
249,Marryatville Primary School,Dankel Avenue,Kensington,5068,-34.924542,138.649185,SCHL,PS,Primary Schools,DEPT
250,McLaren Flat Primary School,49 Main Road,McLaren Flat,5171,-35.206109,138.587206,SCHL,PS,Primary Schools,DEPT
251,McLaren Vale Primary School,Caffrey Street,McLaren Vale,5171,-35.211634,138.531402,SCHL,PS,Primary Schools,DEPT
252,Meadows Primary School,Mawson Road,Meadows,5201,-35.180498,138.761924,SCHL,PS,Primary Schools,DEPT
253,Melrose Primary School,29 Stuart Street,Melrose,5483,-32.823832,138.187995,SCHL,PS,Primary Schools,DEPT
255,Angle Vale Primary School,Heaslip Road,Angle Vale,5117,-34.643388,138.647377,SCHL,PS,Primary Schools,DEPT
262,Eastern Fleurieu Milang Campus,Cnr Coxe & Rivers Streets,Milang,5256,-35.405862,138.973123,SCHL,PS,Primary Schools,DEPT
265,Mil Lel Primary School,465 Kennedy Avenue,Mil-Lel,5291,-37.781125,140.825631,SCHL,PS,Primary Schools,DEPT
270,Mitcham Primary School,Hillview Road,Kingswood,5062,-34.972879,138.616131,SCHL,PS,Primary Schools,DEPT
272,Modbury School Preschool to Year 7,2-18 Golden Grove Road,Modbury North,5092,-34.825905,138.692227,SCHL,PS,Primary Schools,DEPT
274,Monash Primary School,22 Jackson Street,Monash,5342,-34.236306,140.559419,SCHL,PS,Primary Schools,DEPT
279,Moorak Primary School,171 Yells Road,Moorak,5291,-37.86465,140.736981,SCHL,PS,Primary Schools,DEPT
280,Moorook Primary School,Wachtel Rd,Moorook,5332,-34.276231,140.351142,SCHL,PS,Primary Schools,DEPT
282,Morgan Primary School,Fourth Street,Morgan,5320,-34.029492,139.670335,SCHL,PS,Primary Schools,DEPT
285,Mount Barker Primary School,2A Dumas Street,Mount Barker,5251,-35.067641,138.853522,SCHL,PS,Primary Schools,DEPT
288,Mount Burr Primary School,Thomas Drive,Mount Burr,5279,-37.54095,140.459314,SCHL,PS,Primary Schools,DEPT
289,Mount Compass Area School,School Road,Mount Compass,5210,-35.350201,138.619759,SCHL,AREA,Area Schools,DEPT
290,Reidy Park Primary School,O'Halloran Terrace,Mount Gambier,5290,-37.834544,140.771765,SCHL,PS,Primary Schools,DEPT
293,Mount Pleasant Primary School,22 Hospital Road,Mount Pleasant,5235,-34.774395,139.053867,SCHL,PS,Primary Schools,DEPT
297,Mundulla Primary School,Kennedy Street,Mundulla,5270,-36.357628,140.693069,SCHL,PS,Primary Schools,DEPT
299,Murray Bridge North School,1 North Terrace,Murray Bridge,5253,-35.115804,139.269327,SCHL,PS,Primary Schools,DEPT
301,Mylor Primary School,220 Strathalbyn Road,Mylor,5153,-35.040969,138.760093,SCHL,PS,Primary Schools,DEPT
302,Mypolonga Primary School,Williams Street,Mypolonga,5254,-35.040591,139.357523,SCHL,PS,Primary Schools,DEPT
303,Myponga Primary School,Hutchinson Street,Myponga,5202,-35.392694,138.464452,SCHL,PS,Primary Schools,DEPT
305,Nailsworth Primary School,2 Balfour Street,Nailsworth,5083,-34.88242,138.603752,SCHL,PS,Primary Schools,DEPT
306,Nairne Primary School,5 Saleyard Road,Nairne,5252,-35.03837,138.903539,SCHL,PS,Primary Schools,DEPT
308,Napperby Primary School,Oaks Road,Napperby,5540,-33.153603,138.11349,SCHL,PS,Primary Schools,DEPT
309,Naracoorte Primary School,Park Terrace,Naracoorte,5271,-36.951082,140.738119,SCHL,PS,Primary Schools,DEPT
313,Old Noarlunga Primary School,Malpas Street,Old Noarlunga,5168,-35.182997,138.500633,SCHL,PS,Primary Schools,DEPT
314,Northfield Primary School,North Avenue,Northfield,5085,-34.849012,138.61972,SCHL,PS,Primary Schools,DEPT
316,Norton Summit Primary School,15 Crescent Drive,Norton Summit,5136,-34.92734233,138.72831656,SCHL,PS,Primary Schools,DEPT
318,Nuriootpa Primary School,15 Buna Terrace,Nuriootpa,5355,-34.472908,139.001322,SCHL,PS,Primary Schools,DEPT
322,One Tree Hill Primary School,"One Tree Hill Primary School, McGilp Road",One Tree Hill,5114,-34.713101,138.766547,SCHL,PS,Primary Schools,DEPT
323,Coorara Primary School,Taylors Avenue,Morphett Vale,5162,-35.131326,138.542009,SCHL,PS,Primary Schools,DEPT
324,Oodnadatta Aboriginal School,Kutaya Tce,Oodnadatta,5734,-27.548914,135.445834,SCHL,ABSCH,Aboriginal Schools,DEPT
325,Owen Primary School,Fourth Street,Owen,5460,-34.271796,138.542669,SCHL,PS,Primary Schools,DEPT
326,Palmer Primary School,Olive Grove Avenue,Palmer,5237,-34.853574,139.161721,SCHL,PS,Primary Schools,DEPT
327,Paracombe Primary School,4 Harvey Road,Paracombe,5132,-34.851674,138.781984,SCHL,PS,Primary Schools,DEPT
328,Parkside Primary School,12 Robsart Street,Parkside,5063,-34.944657,138.620087,SCHL,PS,Primary Schools,DEPT
329,Glossop High School Middle Campus,535 Old Sturt Highway,Glossop,5344,-34.274808,140.534942,SCHL,HIGH,High/Secondary Schools,DEPT
332,Disability Unit Pasadena High School,241-277 Daws Road,Pasadena,5042,-34.993333,138.590102,NONS,SPDIS,Disability Units,DEPT
336,Penneshaw Campus,Howard Drive,Penneshaw,5222,-35.720872,137.931836,SCHL,AREA,Area Schools,DEPT
337,Pennington School R-7,Butler Avenue,Pennington,5013,-34.857487,138.532493,SCHL,PS,Primary Schools,DEPT
338,Penong Primary School,Eyre Highway,Penong,5690,-31.92861,133.005426,SCHL,PS,Primary Schools,DEPT
339,Peterborough Primary School,75 Bridges Street,Peterborough,5422,-32.971085,138.832375,SCHL,PS,Primary Schools,DEPT
340,Ascot Park Primary School,1-37 Pildappa Avenue,Park Holme,5043,-34.990774,138.554376,SCHL,PS,Primary Schools,DEPT
342,Eastern Fleurieu Ashbourne Campus,14 Ashbourne Road,Ashbourne,5157,-35.288765,138.765705,SCHL,PS,Primary Schools,DEPT
346,Plympton Primary School,19 Owen Street,Plympton,5038,-34.9612,138.556819,SCHL,PS,Primary Schools,DEPT
351,Poonindie Community Learning Centre,1-25 Hirschausen Road,Poonindie,5607,-34.580807,135.881095,SCHL,PS,Primary Schools,DEPT
352,Pooraka Primary School,11 South Terrace,Pooraka,5095,-34.833519,138.613108,SCHL,PS,Primary Schools,DEPT
355,Port Augusta West Primary School,46 Mildred Street,Port Augusta West,5700,-32.483205,137.754202,SCHL,PS,Primary Schools,DEPT
356,Port Elliot Primary School,4 Cameron Street,Port Elliot,5212,-35.5234781,138.6774938,SCHL,PS,Primary Schools,DEPT
359,Port Lincoln Primary School,Lincoln Place,Port Lincoln,5606,-34.723909,135.857158,SCHL,PS,Primary Schools,DEPT
361,Port Neill Primary School,Wallis Street,Port Neill,5604,-34.116548,136.342001,SCHL,PS,Primary Schools,DEPT
362,Port Noarlunga Primary School,10 James Avenue,Port Noarlunga,5167,-35.143859,138.473037,SCHL,PS,Primary Schools,DEPT
363,Port Pirie West Primary School,214 The Terrace,Port Pirie,5540,-33.181868,138.002596,SCHL,PS,Primary Schools,DEPT
366,Port Wakefield Primary School,22 Mine Street,Port Wakefield,5550,-34.187379,138.149302,SCHL,PS,Primary Schools,DEPT
368,Prospect Primary School,27 Gladstone Road,Prospect,5082,-34.884916,138.59012,SCHL,PS,Primary Schools,DEPT
372,Ramco Primary School,N/A,Ramco,5322,-34.169777,139.933102,SCHL,PS,Primary Schools,DEPT
375,Rendelsham Primary School,Nilsson Street,Rendelsham,5280,-37.551464,140.225149,SCHL,PS,Primary Schools,DEPT
376,Renmark Primary School,58 Murtho Street,Renmark,5341,-34.17430625,140.74294413001,SCHL,PS,Primary Schools,DEPT
377,Renmark North Primary School,Warrego Street,Renmark North,5341,-34.126289,140.711409,SCHL,PS,Primary Schools,DEPT
378,Renmark West Primary School,Tarcoola Street,Renmark,5341,-34.166258,140.710394,SCHL,PS,Primary Schools,DEPT
379,Reynella Primary School,55-63 Concord Drive,Old Reynella,5161,-35.100928,138.537502,SCHL,PS,Primary Schools,DEPT
381,Richmond Primary School,8 Surrey Road,Keswick,5035,-34.943391,138.571798,SCHL,PS,Primary Schools,DEPT
383,Riverton Primary School,21 Swinden Street,Riverton,5412,-34.15606,138.744199,SCHL,PS,Primary Schools,DEPT
384,Robe Primary School,Union Street,Robe,5276,-37.16374,139.761657,SCHL,PS,Primary Schools,DEPT
385,Robertstown Primary School,Corey Street,Robertstown,5381,-33.98999,139.084262,SCHL,PS,Primary Schools,DEPT
387,Roseworthy Primary School,Gartrell Street,Roseworthy,5371,-34.53392,138.748218,SCHL,PS,Primary Schools,DEPT
389,Saddleworth Primary School,7 Saddle Road,Saddleworth,5413,-34.080565,138.783159,SCHL,PS,Primary Schools,DEPT
391,St Leonards Primary School,Jervois Street,Glenelg North,5045,-34.972261,138.519785,SCHL,PS,Primary Schools,DEPT
395,Sandy Creek Primary School,Davies Road,Cockatoo Valley,5351,-34.610068,138.829663,SCHL,PS,Primary Schools,DEPT
396,Scott Creek Primary School,519 Scott Creek Road,Scott Creek,5153,-35.056668,138.706377,SCHL,PS,Primary Schools,DEPT
397,Seaton Park Primary School,80 Balcombe Avenue,Seaton,5023,-34.895535,138.519943,SCHL,PS,Primary Schools,DEPT
406,Solomontown Primary School,79 Three Chain Road,Port Pirie,5540,-33.18994,138.019589,SCHL,PS,Primary Schools,DEPT
407,Spalding Primary School,Edgeware Avenue,Spalding,5454,-33.496312,138.611066,SCHL,PS,Primary Schools,DEPT
408,Springton Primary School,N/A,Springton,5235,-34.706581,139.088713,SCHL,PS,Primary Schools,DEPT
411,Stansbury Primary School,North Terrace,Stansbury,5582,-34.907661,137.794614,SCHL,PS,Primary Schools,DEPT
413,Stirling East Primary School,51 Braeside Road,Stirling,5152,-35.002222,138.734746,SCHL,PS,Primary Schools,DEPT
418,Eastern Fleurieu Strath R-6 Campus,34 East Terrace,Strathalbyn,5255,-35.256204,138.898587,SCHL,PS,Primary Schools,DEPT
419,Athelstone School,8A Brookside Road,Athelstone,5076,-34.867631,138.699613,SCHL,PS,Primary Schools,DEPT
422,Suttontown Primary School,Pine Hall Avenue,Suttontown,5291,-37.797141,140.76955,SCHL,PS,Primary Schools,DEPT
423,Swan Reach Area School,Showground Road,Swan Reach,5354,-34.571572,139.604009,SCHL,AREA,Area Schools,DEPT
424,Tailem Bend Primary School,1 Murray Street,Tailem Bend,5260,-35.259104,139.457249,SCHL,PS,Primary Schools,DEPT
425,Auburn Primary School,St Vincent Street,Auburn,5451,-34.026172,138.683695,SCHL,PS,Primary Schools,DEPT
426,Tantanoola Primary School,Randall Street,Tantanoola,5280,-37.698965,140.454535,SCHL,PS,Primary Schools,DEPT
427,Tanunda Primary School,Research Road,Tanunda,5352,-34.526253,138.959337,SCHL,PS,Primary Schools,DEPT
430,Tarlee Primary School,38-42 Craig Street,Tarlee,5411,-34.269925,138.772668,SCHL,PS,Primary Schools,DEPT
432,Tea Tree Gully Primary School,11/13 Neale Street,Tea Tree Gully,5091,-34.822942,138.727177,SCHL,PS,Primary Schools,DEPT
438,Tintinara Area School,37 Wendt Terrace,Tintinara,5266,-35.882498,140.060951,SCHL,AREA,Area Schools,DEPT
442,Truro Primary School,1 Burr Street,Truro,5356,-34.4112,139.12638,SCHL,PS,Primary Schools,DEPT
444,Two Wells Primary School,Gawler Road,Two Wells,5501,-34.591316,138.516996,SCHL,PS,Primary Schools,DEPT
446,Ungarra Primary School,Ashman Terrace,Ungarra,5607,-34.18083,136.047417,SCHL,PS,Primary Schools,DEPT
447,Unley Primary School,222 Wattle Street,Unley,5061,-34.953509,138.61001,SCHL,PS,Primary Schools,DEPT
448,Upper Sturt Primary School,118 Upper Sturt Road,Upper Sturt,5156,-35.018986,138.683375,SCHL,PS,Primary Schools,DEPT
449,Uraidla Primary School,17 Kidney Street,Uraidla,5142,-34.959029,138.743391,SCHL,PS,Primary Schools,DEPT
453,Victor Harbor R-7 School,The Parkway,Victor Harbor,5211,-35.540745,138.624353,SCHL,PS,Primary Schools,DEPT
455,Virginia Primary School,Park Road,Virginia,5120,-34.664481,138.555693,SCHL,PS,Primary Schools,DEPT
456,Waikerie Primary School,23 Coombe Terrace,Waikerie,5330,-34.181117,139.981115,SCHL,PS,Primary Schools,DEPT
457,Walkerville Primary School,159 Stephen Terrace,Walkerville,5081,-34.895194,138.613241,SCHL,PS,Primary Schools,DEPT
459,Wallaroo Primary School,Hughes Street,Wallaroo,5556,-33.932746,137.624271,SCHL,PS,Primary Schools,DEPT
460,Wallaroo Mines Primary School,Lipson Avenue,Kadina,5554,-33.965894,137.69872,SCHL,PS,Primary Schools,DEPT
467,Warooka Primary School,47 Main Street,Warooka,5577,-34.990788,137.399042,SCHL,PS,Primary Schools,DEPT
469,Wasleys Primary School,Annie Terrace,Wasleys,5400,-34.471428,138.680561,SCHL,PS,Primary Schools,DEPT
470,Watervale Primary School,27 Main North Road,Watervale,5452,-33.960982,138.644648,SCHL,PS,Primary Schools,DEPT
473,Allenby Gardens Primary School,Barham Street,Allenby Gardens,5009,-34.90181,138.554862,SCHL,PS,Primary Schools,DEPT
474,Trinity Gardens Primary School,160 Portrush Road,Trinity Gardens,5068,-34.907992,138.641783,SCHL,PS,Primary Schools,DEPT
475,Westbourne Park Primary School,2 Marlborough Road,Westbourne Park,5041,-34.969224,138.591941,SCHL,PS,Primary Schools,DEPT
476,Adelaide North Special School,135 Douglas Drive,Munno Para,5115,-34.663544,138.684826,SCHL,SPPS,Primary/Secondary Special Schools,DEPT
477,Balaklava Primary School,Wallace Street,Balaklava,5461,-34.151438,138.416488,SCHL,PS,Primary Schools,DEPT
478,Whyalla Town Primary School,3-9 Walls Street,Whyalla,5600,-33.035531,137.583641,SCHL,PS,Primary Schools,DEPT
479,Memorial Oval Primary School,Bradford Street,Whyalla,5600,-33.033445,137.568711,SCHL,PS,Primary Schools,DEPT
