id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon
1,Alberton Primary School,21 Thomson Street,Alberton,3971,Government,Primary,-38.617713,146.666601
3,Allansford and District Primary School,Frank Street,Allansford,3277,Government,Primary,-38.386281,142.590393
4,Avoca Primary School,118 Barnett Street,Avoca,3467,Government,Primary,-37.084502,143.475649
8,Avenel Primary School,40 Anderson Street,Avenel,3664,Government,Primary,-36.901368,145.234722
12,Warrandyte Primary School,5-11 Forbes Street,Warrandyte,3113,Government,Primary,-37.742675,145.21398
26,Belmont Primary School,51 Mt Pleasant Road,Belmont,3216,Government,Primary,-38.170671999999996,144.342099
28,Bacchus Marsh Primary School,56-62 Lerderderg Street,Bacchus Marsh,3340,Government,Primary,-37.67302961,144.44312069999998
33,Ballarat Primary School (Dana Street),401 Dana Street,Ballarat,3350,Government,Primary,-37.56401278,143.853936
37,Wodonga Primary School,Brockley Street,Wodonga,3690,Government,Primary,-36.129214000000005,146.88982
40,Berwick Primary School,37 Fairholme Boulevard,Berwick,3806,Government,Primary,-38.044178,145.35374299999998
60,Beaufort Primary School,2/37 Park Road,Beaufort,3373,Government,Primary,-37.43852098,143.3817175
84,Cheltenham Primary School,231 Charman Road,Cheltenham,3192,Government,Primary,-37.968608,145.05463500000002
105,Cudgee Primary School,3 Hallowells Road,Cudgee,3265,Government,Primary,-38.347938,142.650844
113,Newport Lakes Primary School,Elizabeth Street,Newport,3015,Government,Primary,-37.838423999999996,144.878345
116,Cavendish Primary School,8-10 Barker Street,Cavendish,3314,Government,Primary,-37.53087,142.039893
117,Colac Primary School,53-65 Murray Street East,Colac,3250,Government,Primary,-38.337224,143.59833600000002
119,Castlemaine Primary School,Cnr Mostyn & Urquhart Street,Castlemaine,3450,Government,Primary,-37.066595,144.222329
120,Campbells Creek Primary School,Main Road,Campbells Creek,3451,Government,Primary,-37.092935,144.204662
122,Creswick Primary School,67 Napier Street,Creswick,3363,Government,Primary,-37.42411355,143.8915581
123,California Gully Primary School,4-14 Staley Street,California Gully,3556,Government,Primary,-36.733207,144.24985700000002
128,St Andrews Primary School,Caledonia Street,St Andrews,3761,Government,Primary,-37.602315999999995,145.269827
182,Warrnambool West Primary School,35 Hoddle Street,Warrnambool,3280,Government,Primary,-38.366338,142.466796
184,Dromana Primary School,Mcculloch Street,Dromana,3936,Government,Primary,-38.339644,144.959653
197,Doncaster Primary School,2 - 12 Council Street,Doncaster,3108,Government,Primary,-37.786804,145.129673
208,Echuca Primary School,413-431 High Street,Echuca,3564,Government,Primary,-36.128198,144.74746299999998
209,Eltham Primary School,Dalton Street,Eltham,3095,Government,Primary,-37.72498353,145.1478042
210,Eaglehawk Primary School,Church St,Eaglehawk,3556,Government,Primary,-36.720628000000005,144.254602
220,Elphinstone Primary School,26 Wright Street,Elphinstone,3448,Government,Primary,-37.10500363,144.3329025
244,Hallam Primary School,24 Harmer Road,Hallam,3803,Government,Primary,-38.001575,145.258493
250,Flemington Primary School,Mt Alexander Road,Flemington,3031,Government,Primary,-37.781393,144.933597
253,Footscray Primary School,Cnr Geelong Road & Barkly St,Footscray,3011,Government,Primary,-37.798383,144.89266899999998
262,Gisborne Primary School,35 Fisher Street,Gisborne,3437,Government,Primary,-37.4908591,144.5884416
264,Guildford Primary School,6 Franklin Street,Guildford,3451,Government,Primary,-37.152008,144.164884
267,Sandringham Primary School,31 Bamfield Street,Sandringham,3191,Government,Primary,-37.947631,145.009306
275,Wandiligong Primary School,119 School Road,Wandiligong,3744,Government,Primary,-36.768862,146.982923
283,Grovedale Primary School,143 Bailey Street,Grovedale,3216,Government,Primary,-38.197238,144.347794
293,Hawthorn West Primary School,Cnr Wood Street & Burwood Road,Hawthorn,3122,Government,Primary,-37.820112,145.01837700000002
294,Heidelberg Primary School,Cape Street,Heidelberg,3084,Government,Primary,-37.754705,145.067799
295,Hamilton (Gray Street) Primary School,42 Gray Street,Hamilton,3300,Government,Primary,-37.744914,142.021384
300,Heathcote Primary School,31 Herriot Street,Heathcote,3523,Government,Primary,-36.924012,144.706851
304,Highton Primary School,218 Roslyn Road,Highton,3216,Government,Primary,-38.172156,144.31708500000002
306,Huntly Primary School,101 Brunel Street,Huntly,3551,Government,Primary,-36.662544,144.334396
319,Bellbrae Primary School,50 School Road,Bellbrae,3228,Government,Primary,-38.33364403,144.26300369999998
327,Chiltern Primary School,91-101 Albert Road,Chiltern,3683,Government,Primary,-36.147065999999995,146.606601
343,Kyneton Primary School,7-15 Baynton Street,Kyneton,3444,Government,Primary,-37.24914183,144.4513462
366,Romsey Primary School,2-56 Station Street,Romsey,3434,Government,Primary,-37.35417523,144.7453792
379,Shelford Primary School,1717 Shelford-Bannockburn Road,Shelford,3329,Government,Primary,-38.0139946,143.98213909999998
385,Lockwood South Primary School,710 Calder Alternative Highway,Lockwood South,3551,Government,Primary,-36.841657,144.15696599999998
400,Marong Primary School,2 Leslie Street,Marong,3515,Government,Primary,-36.735549,144.136339
415,Mount Macedon Primary School,641 Mount Macedon Road,Mount Macedon,3441,Government,Primary,-37.40479379,144.5841275
427,Mount Clear Primary School,1206 Geelong Road,Mount Clear,3350,Government,Primary,-37.60439201,143.86818269999998
430,Melton Primary School,Unitt Street,Melton,3337,Government,Primary,-37.681081,144.58647
450,Fitzroy Primary School,319 George Street,Fitzroy,3065,Government,Primary,-37.799603000000005,144.981511
452,Newstead Primary School,Lyons Street,Newstead,3462,Government,Primary,-37.105917,144.06718999999998
453,Newlyn Primary School,2701 Midland Highway,Newlyn,3364,Government,Primary,-37.41202483,143.98442659999998
454,Burwood East Primary School,Cnr Blackburn And Highbury Rds,Burwood East,3151,Government,Primary,-37.859778999999996,145.152209
467,New Gisborne Primary School,239 Station Road,New Gisborne,3438,Government,Primary,-37.46288785,144.596579
482,Beeac Primary School,35 Lang Street,Beeac,3251,Government,Primary,-38.193973,143.644279
483,Essendon Primary School,38 Raleigh Street,Essendon,3040,Government,Primary,-37.753095,144.921042
484,Coburg Primary School,92 Bell Street,Coburg,3058,Government,Primary,-37.741184000000004,144.968026
486,Penshurst Primary School,87 Ritchie Street,Penshurst,3289,Government,Primary,-37.879184,142.291326
487,Myrniong Primary School,Muddy Lane,Myrniong,3341,Government,Primary,-37.61971733,144.3463198
488,Mernda Primary School,25 Everton Drive,Mernda,3754,Government,Primary,-37.59459504,145.0922429
489,Portland Primary School,45 Palmer Street,Portland,3305,Government,Primary,-38.347295,141.599408
502,Stawell Primary School,14-28 Barnes Street,Stawell,3380,Government,Primary,-37.056128,142.773775
522,Rutherglen Primary School,44 Murray Street,Rutherglen,3685,Government,Primary,-36.056209,146.460614
528,Riddells Creek Primary School,69-77 Main Road,Riddells Creek,3431,Government,Primary,-37.46122119,144.6797752
531,Rokewood Primary School,38 Aitchison Street,Rokewood,3330,Government,Primary,-37.90365609,143.7228146
541,Geelong East Primary School,184 Boundary Road,Geelong East,3219,Government,Primary,-38.175556,144.382972
545,Sale Primary School,Macalister Street,Sale,3850,Government,Primary,-38.108303,147.073643
582,Skipton Primary School,7 Montgomery Street,Skipton,3361,Government,Primary,-37.686858,143.36816100000001
583,South Yarra Primary School,601 Punt Road,South Yarra,3141,Government,Primary,-37.841353000000005,144.98561899999999
596,Stratford Primary School,Cnr Wellsford & Hobson Streets,Stratford,3862,Government,Primary,-37.967251,147.085386
614,Taradale Primary School,98 High Street,Taradale,3447,Government,Primary,-37.141313000000004,144.35106299999998
618,Koroit And District Primary School,91 Commercial Road,Koroit,3282,Government,Primary,-38.292441,142.368702
621,Tylden Primary School,11 Clowes Street,Tylden,3444,Government,Primary,-37.32496764,144.4087844
631,Thomastown Primary School,6 Spring Street,Thomastown,3074,Government,Primary,-37.68238797,145.0117394
643,Wangaratta Primary School,19 Chisholm Street,Wangaratta,3677,Government,Primary,-36.355275,146.329419
644,Wahgunyah Primary School,Elizabeth Street,Wahgunyah,3687,Government,Primary,-36.013651,146.397925
647,Woodend Primary School,146 High Street,Woodend,3442,Government,Primary,-37.35341833,144.5329415
648,Woodford Primary School,8 Victoria Street,Woodford,3281,Government,Primary,-38.316807,142.48450400000002
649,Werribee Primary School,2 Deutgam Street,Werribee,3030,Government,Primary,-37.906703,144.65911
652,Winters Flat Primary School,3 Roberts Avenue,Castlemaine,3450,Government,Primary,-37.070164,144.207491
653,Wooragee Primary School,1011 Beechworth-Wodonga Road,Wooragee,3747,Government,Primary,-36.29048,146.730883
664,Wallan Primary School,46-48 Queen Street,Wallan,3756,Government,Primary,-37.411465,144.97503600000002
688,Woolsthorpe Primary School,12 Manifold Street,Woolsthorpe,3276,Government,Primary,-38.18741399,142.43176330000003
691,Yandoit Primary School,74 High Street,Yandoit,3461,Government,Primary,-37.21400151,144.08844069999998
693,Yarram Primary School,2-14 Wesley Street,Yarram,3971,Government,Primary,-38.558532,146.675323
695,Pleasant Street Primary School (Ballarat),101 Pleasant St North,Lake Wendouree,3350,Government,Primary,-37.55705557,143.83872230000003
699,Yea Primary School,23 Station Street,Yea,3717,Government,Primary,-37.212727,145.428298
707,Lancefield Primary School,80 High Street,Lancefield,3435,Government,Primary,-37.27495358,144.726424
