id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon,state_code
1001,Abbotsford Public School,350 Great North Rd,Abbotsford ,2046,Goverment,Primary School,-33.852728,151.131206,NSW
1002,Aberdeen Public School,Segenhoe St,Aberdeen,2336,Goverment,Primary School,-32.166098,150.888095,NSW
1003,Abermain Public School,Goulburn St,Abermain ,2326,Goverment,Primary School,-32.80892,151.426499,NSW
1007,Adaminaby Public School,9 Cosgrove Street,Adaminaby,2629,Goverment,Primary School,-35.993292,148.776721,NSW
1008,Adamstown Public School,Bryant St,Adamstown ,2289,Goverment,Primary School,-32.932213,151.730971,NSW
1009,Adelong Public School,Gilmore St,Adelong ,2729,Goverment,Primary School,-35.312333,148.062802,NSW
1015,Albion Park Public School,Tongarra & Hamilton Rds,Albion Park ,2527,Goverment,Primary School,-34.570257,150.77262,NSW
1016,Timbumburi Public School,542 Kia Ora Lane,Timbumburi ,2340,Goverment,Primary School,-31.203781,150.915629,NSW
1017,Albury Public School,481 David St,Albury ,2640,Goverment,Primary School,-36.082454,146.919253,NSW
1019,Albury West Public School,Mott St,Albury ,2640,Goverment,Primary School,-36.07783,146.895548,NSW
1028,Alma Public School,Comstock St,Broken Hill ,2880,Goverment,Primary School,-31.982217,141.462443,NSW
1030,Alstonville Public School,Main St,Alstonville ,2477,Goverment,Primary School,-28.838471,153.438172,NSW
1040,Anna Bay Public School,191 Gan Gan Rd,Anna Bay ,2316,Goverment,Primary School,-32.77637,152.089912,NSW
1041,Annandale Public School,25 Johnston St,Annandale ,2038,Goverment,Primary School,-33.885782,151.169599,NSW
1042,Annandale North Public School,206 Johnston St,Annandale ,2038,Goverment,Primary School,-33.877905,151.171835,NSW
1045,Appin Public School,97 Appin Road,Appin,2560,Goverment,Primary School,-34.198417,150.78766,NSW
1048,Arcadia Public School,140 Arcadia Road,Arcadia,2159,Goverment,Primary School,-33.623487,151.051031,NSW
1051,Ardlethan Central School,Mithul St,Ardlethan ,2665,Goverment,Central/Community School,-34.354098,146.900557,NSW
1055,Ariah Park Central School,Reid St,Ariah Park ,2665,Goverment,Central/Community School,-34.346925,147.218018,NSW
1057,Armidale City Public School,Faulkner St,Armidale ,2350,Goverment,Primary School,-30.519501,151.664056,NSW
1058,Drummond Memorial Public School,250 Rusden Street,Armidale,2350,Goverment,Primary School,-30.511469,151.650715,NSW
1061,Artarmon Public School,McMillan Rd,Artarmon ,2064,Goverment,Primary School,-33.811249,151.186001,NSW
1064,Ashbury Public School,Trevenar St,Ashbury,2193,Goverment,Primary School,-33.898833,151.11944,NSW
1065,Ashfield Public School,Liverpool Rd,Ashfield ,2131,Goverment,Primary School,-33.889723,151.12821,NSW
1066,Ashford Central School,Albury St,Ashford ,2361,Goverment,Central/Community School,-29.321262,151.094638,NSW
1070,Asquith Public School,Dudley St,Asquith,2077,Goverment,Primary School,-33.685729,151.112177,NSW
1071,Attunga Public School,Railway St,Attunga ,2345,Goverment,Primary School,-30.930445,150.846575,NSW
1073,Auburn North Public School,100 Adderley St,Auburn ,2144,Goverment,Primary School,-33.841669,151.038618,NSW
1075,Auburn West Public School,Chiswick Rd,Auburn ,2144,Goverment,Primary School,-33.860931,151.019764,NSW
1076,Austinmer Public School,90 Lawrence Hargrave Drive,Austinmer ,2515,Goverment,Primary School,-34.305398,150.934991,NSW
1077,Austral Public School,219 Edmondson Avenue,Austral,2179,Goverment,Primary School,-33.934487,150.812638,NSW
1081,Avoca Public School,Sheepwash Rd,Avoca,2577,Goverment,Primary School,-34.612697,150.479766,NSW
1082,Avoca Beach Public School,The Round Drive,Avoca Beach,2251,Goverment,Primary School,-33.471154,151.430745,NSW
1084,Awaba Public School,Mulbring Street,Awaba,2283,Goverment,Primary School,-33.010554,151.538068,NSW
1085,Colo Vale Public School,Wattle St,Colo Vale ,2575,Goverment,Primary School,-34.401281,150.476178,NSW
1098,Bald Blair Public School,Ebor Rd,Guyra ,2365,Goverment,Primary School,-30.229893,151.785056,NSW
1104,Seaforth Public School,37 Kempbridge Avenue,Seaforth ,2092,Goverment,Primary School,-33.793262,151.251235,NSW
1106,Balgownie Public School,Balgownie Rd,Balgownie ,2519,Goverment,Primary School,-34.386984,150.872076,NSW
1111,Ballimore Public School,Bomen St,Ballimore ,2830,Goverment,Primary School,-32.193596,148.899631,NSW
1112,Ballina Public School,48 Crane St,Ballina ,2478,Goverment,Primary School,-28.869724,153.563707,NSW
1115,Balranald Central School,We St,Balranald,2715,Goverment,Central/Community School,-34.635575,143.564769,NSW
1118,Bangalow Public School,Byron St,Bangalow ,2479,Goverment,Primary School,-28.68554,153.525743,NSW
1121,Banksmeadow Public School,Trevelyan & Wiggins Sts,Botany ,2019,Goverment,Primary School,-33.953739,151.20661,NSW
1123,Greenacre Public School,Waterloo Rd,Greenacre,2190,Goverment,Primary School,-33.911161,151.057581,NSW
1124,Bankstown North Public School,322 Hume Hwy,Bankstown ,2200,Goverment,Primary School,-33.904888,151.038043,NSW
1129,Banora Point Public School,Pioneer Pde,Banora Point ,2486,Goverment,Primary School,-28.222422,153.543702,NSW
1130,Baradine Central School,Narren St,Baradine,2396,Goverment,Central/Community School,-30.950736,149.070198,NSW
1131,Barellan Central School,Boree St,Barellan ,2665,Goverment,Central/Community School,-34.287799,146.571928,NSW
1134,Bargo Public School,Southern Rd,Bargo ,2574,Goverment,Primary School,-34.292889,150.58274,NSW
1135,Barham Public School,Wakool St,Barham,2732,Goverment,Primary School,-35.626915,144.127977,NSW
1136,Barkers Vale Public School,4501 Kyogle Rd,Wadeville ,2474,Goverment,Primary School,-28.54902,153.14927,NSW
1137,Barmedman Public School,Robertson St,Barmedman ,2668,Goverment,Primary School,-34.148277,147.385078,NSW
1138,Barnsley Public School,Cliffbrook St,Barnsley ,2278,Goverment,Primary School,-32.933094,151.594552,NSW
1139,Barooga Public School,Hughes St,Barooga ,3644,Goverment,Primary School,-35.912963,145.695985,NSW
1140,Barraba Central School,Gotha St,Barraba ,2347,Goverment,Central/Community School,-30.38239,150.599478,NSW
1143,Barrington Public School,1 Kenmore St,Barrington ,2422,Goverment,Primary School,-31.971159,151.911058,NSW
1146,Baryulgil Public School,7135 Clarence Way,Baryulgil ,2460,Goverment,Primary School,-29.2235,152.605615,NSW
1148,Bass Hill Public School,611 Hume Hwy,Bass Hill ,2197,Goverment,Primary School,-33.905902,151.005779,NSW
1149,Batemans Bay Public School,Mundarra Way,Surfside,2536,Goverment,Primary School,-35.700051,150.188373,NSW
1150,Bathurst Public School,George St,Bathurst ,2795,Goverment,Primary School,-33.420942,149.570615,NSW
1152,Batlow Technology School,Pioneer St,Batlow ,2730,Goverment,Central/Community School,-35.523007,148.146548,NSW
1160,Beckom Public School,Welman St,Beckom ,2665,Goverment,Primary School,-34.327211,146.962928,NSW
1164,Bedgerebong Public School,North Condobolin Rd,Bedgerebong ,2871,Goverment,Primary School,-33.361353,147.679318,NSW
1165,Beechwood Public School,614 Beechwood Road,Wauchope ,2446,Goverment,Primary School,-31.435535,152.68094,NSW
1166,Beecroft Public School,98 Beecroft Rd,Beecroft ,2119,Goverment,Primary School,-33.752085,151.06462,NSW
1167,Beelbangera Public School,Rankins Springs Rd,Beelbangera ,2680,Goverment,Primary School,-34.252836,146.101067,NSW
1168,Bega Valley Public School,27 Auckland St,Bega ,2550,Goverment,Primary School,-36.670545,149.839095,NSW
1175,Bellata Public School,Gurley St,Bellata ,2397,Goverment,Primary School,-29.918659,149.796216,NSW
1177,Bellbird Public School,Doyle St,Bellbird ,2325,Goverment,Primary School,-32.859421,151.316705,NSW
1178,Bellbrook Public School,Main St,Bellbrook,2440,Goverment,Primary School,-30.819094,152.508698,NSW
1179,Bellevue Hill Public School,Victoria Rd,Bellevue Hill ,2023,Goverment,Primary School,-33.886986,151.259785,NSW
1181,Bellingen Public School,William St,Bellingen ,2454,Goverment,Primary School,-30.45349,152.891887,NSW
1182,Belltrees Public School,Moonan Flat Rd,Belltrees ,2337,Goverment,Primary School,-31.988753,151.129487,NSW
1183,Belmont Public School,Livingstone St,Belmont ,2280,Goverment,Primary School,-33.030134,151.662203,NSW
1185,Belmore North Public School,Burwood Rd,Belmore ,2192,Goverment,Primary School,-33.909885,151.084885,NSW
1186,Belmore South Public School,Nelson Ave & Canterbury Rd,Belmore ,2192,Goverment,Primary School,-33.925735,151.091985,NSW
1189,Bemboka Public School,Kameruka St,Bemboka ,2550,Goverment,Primary School,-36.631309,149.571075,NSW
1191,Bendemeer Public School,Charles St,Bendemeer ,2355,Goverment,Primary School,-30.886984,151.150991,NSW
1196,Ben Lomond Public School,Inn Rd,Ben Lomond ,2365,Goverment,Primary School,-30.017024,151.661287,NSW
1198,Ben Venue Public School,Erskine St,Armidale ,2350,Goverment,Primary School,-30.502884,151.67462,NSW
1199,Berala Public School,Harrow Rd,Berala,2141,Goverment,Primary School,-33.869714,151.028244,NSW
1201,Beresfield Public School,181-183 Anderson Dr (Cnr Lawson Ave),Beresfield,2322,Goverment,Primary School,-32.803964,151.654863,NSW
1202,Berkeley Public School,George St,Berkeley ,2506,Goverment,Primary School,-34.480214,150.856493,NSW
1203,Berkeley Vale Public School,Pindarri Ave,Berkeley Vale ,2259,Goverment,Primary School,-33.350515,151.435888,NSW
1204,Bermagui Public School,George St,Bermagui ,2546,Goverment,Primary School,-36.420776,150.063625,NSW
1205,Berowra Public School,Hillcrest Rd,Berowra ,2081,Goverment,Primary School,-33.618522,151.148996,NSW
1206,Berridale Public School,Oliver St,Berridale ,2628,Goverment,Primary School,-36.371444,148.827209,NSW
1207,Berrigan Public School,25-29 Momalong St,Berrigan ,2712,Goverment,Primary School,-35.659667,145.815664,NSW
1209,Berrima Public School,Oxley St,Berrima ,2577,Goverment,Primary School,-34.485882,150.340775,NSW
1211,Berry Public School,Victoria St,Berry ,2535,Goverment,Primary School,-34.778317,150.689706,NSW
1215,Beverly Hills Public School,Stoney Creek & King Georges Rds,Beverly Hills ,2209,Goverment,Primary School,-33.953449,151.085209,NSW
1217,Bexhill Public School,12 Withers St,Bexhill,2480,Goverment,Primary School,-28.766026,153.345835,NSW
1223,Bigga Public School,Blackman St,Bigga ,2583,Goverment,Primary School,-34.0847,149.144602,NSW
1224,Bilambil Public School,Bilambil Rd,Bilambil ,2486,Goverment,Primary School,-28.223742,153.468431,NSW
1227,Ocean Shores Public School,166 Shara Boulevarde,Ocean Shores,2483,Goverment,Primary School,-28.491203,153.540337,NSW
1228,Bilpin Public School,Bells Line of Road,Bilpin ,2758,Goverment,Primary School,-33.497331,150.516765,NSW
1230,Binalong Public School,Dickinson Street,Binalong,2584,Goverment,Primary School,-34.670108,148.625718,NSW
1231,Binda Public School,Queen St,Binda ,2583,Goverment,Primary School,-34.331463,149.368114,NSW
1234,Bingara Central School,Finch St,Bingara ,2404,Goverment,Central/Community School,-29.866705,150.56725,NSW
1237,Binnaway Central School,David St,Binnaway,2395,Goverment,Central/Community School,-31.552793,149.374951,NSW
1238,Binya Public School,16 Stephensons Rd,Binya,2665,Goverment,Primary School,-34.228678,146.353034,NSW
