id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon,state_code
102,East Murray Area School,1182 East Murray Area School Road,Mindarie,5309,Government,Area Schools,-34.815955,140.216073,SA
104,Coromandel Valley Primary School,339 Main Road,Coromandel Valley,5051,Government,Primary Schools,-35.033562,138.626758,SA
105,Glossop High School Senior Campus,50 Burgess Drive,Berri,5343,Government,High/Secondary Schools,-34.27940174,140.6128796,SA
106,Cowandilla Primary School,21 Jenkins Street,Cowandilla,5033,Government,Primary Schools,-34.934543,138.558874,SA
107,Crafers Primary School,55 Piccadilly Road,Crafers,5152,Government,Primary Schools,-34.993387,138.71348,SA
111,Crystal Brook Primary School,7 Mitchell Street,Crystal Brook,5523,Government,Primary Schools,-33.352948,138.213543,SA
114,Curramulka Primary School,Sixth Street,Curramulka,5580,Government,Primary Schools,-34.695502,137.713697,SA
116,Murray Bridge Special School,1 North Terrace,Murray Bridge,5253,Government,Primary Special Schools,-35.115681,139.269869,SA
120,Gilles Street Primary School,91 Gilles Street,Adelaide,5000,Government,Primary Schools,-34.93449,138.604464,SA
123,Echunga Primary School,802 Echunga Road,Echunga,5153,Government,Primary Schools,-35.097706,138.79085,SA
124,Eden Hills Primary School,78 Wilpena Street,Eden Hills,5050,Government,Primary Schools,-35.020546,138.595317,SA
127,Edwardstown Primary School,Maria Street,Melrose Park,5039,Government,Primary Schools,-34.978729,138.57801,SA
128,Elliston Area School,Flinders Highway,Elliston,5670,Government,Area Schools,-33.644153,134.892451,SA
131,Norwood Primary School,37 Osmond Terrace,Norwood,5067,Government,Primary Schools,-34.91953508,138.6316413,SA
135,Flinders Park Primary School,70 Holbrooks Road,Flinders Park,5025,Government,Primary Schools,-34.911103,138.54754,SA
136,Lenswood Primary School,1554 Lobethal Road,Lenswood,5240,Government,Primary Schools,-34.921667,138.824005,SA
138,Frances Primary School,23 Barrett Road,Frances,5262,Government,Primary Schools,-36.708483,140.956465,SA
139,Freeling Primary School,Coulls Street,Freeling,5372,Government,Primary Schools,-34.457881,138.811701,SA
141,Gawler Primary School,School Road,Gawler,5118,Government,Primary Schools,-34.597541,138.740692,SA
142,Evanston Gardens Primary School,71 Angle Vale Road,Evanston Gardens,5116,Government,Primary Schools,-34.623986,138.720025,SA
145,Geranium Primary School,1-3 Geranium Terrace,Geranium,5301,Government,Primary Schools,-35.378728,140.160067,SA
146,Windsor Gardens B-12 Beatty Ave Camp,Beatty Avenue,Hillcrest,5086,Government,Primary Schools,-34.858428,138.651763,SA
147,Gladstone Primary School,2 West Terrace,Gladstone,5473,Government,Primary Schools,-33.266137,138.350584,SA
148,Glenburnie Primary School,36 Kromelite Road,Glenburnie,5291,Government,Primary Schools,-37.84041,140.863876,SA
152,Glen Osmond Primary School,5 Fisher Street,Myrtle Bank,5064,Government,Primary Schools,-34.957051,138.637255,SA
153,Glossop Primary Community School K-7,Mitchell Terrace,Glossop,5344,Government,Primary Schools,-34.271342,140.524768,SA
156,Goodwood Primary School,140 Goodwood Road,Goodwood,5034,Government,Primary Schools,-34.951434,138.588694,SA
157,Goolwa Primary School,Gardiner Street,Goolwa,5214,Government,Primary Schools,-35.497553,138.780252,SA
160,Greenock Primary School,Bevan Street,Greenock,5360,Government,Primary Schools,-34.459939,138.921793,SA
162,Gumeracha Primary School,Albert Street,Gumeracha,5233,Government,Primary Schools,-34.824981,138.880956,SA
163,Hahndorf Primary School,12 Church Street,Hahndorf,5245,Government,Primary Schools,-35.027625,138.810629,SA
167,Hamley Bridge Primary School,13 Florence Street,Hamley Bridge,5401,Government,Primary Schools,-34.354549,138.684929,SA
169,Rose Park Primary School,54 Alexandra Avenue,Rose Park,5067,Government,Primary Schools,-34.93161,138.628893,SA
171,Happy Valley Primary School,18 Education Road,Happy Valley,5159,Government,Primary Schools,-35.087062,138.583603,SA
175,Hawker Area School,Arkaba Street,Hawker,5434,Government,Area Schools,-31.89042,138.427892,SA
176,Heathfield Primary School,201 Longwood Road,Heathfield,5153,Government,Primary Schools,-35.03002,138.727311,SA
177,Henley Beach Primary School,38 Hazel Terrace,Henley Beach South,5022,Government,Primary Schools,-34.929734,138.499429,SA
179,North Adelaide Primary School,62-80 Tynte Street,North Adelaide,5006,Government,Primary Schools,-34.905096,138.597558,SA
194,Jervois Primary School,Rayson Street,Jervois,5259,Government,Primary Schools,-35.266177,139.437094,SA
195,Youth Education Centre,26-56 Goldsborough Road,Cavan,5094,Government,Alternative Prim/Sec Schools,-34.828265,138.60253,SA
197,Kalangadoo Primary School,48B Kangaroo Flat Road,Kalangadoo,5278,Government,Primary Schools,-37.564684,140.695568,SA
198,Kangarilla Primary School,33-35 McLaren Flat Road,Kangarilla,5157,Government,Primary Schools,-35.147815,138.659484,SA
200,Kapunda Primary School,Mildred Street,Kapunda,5373,Government,Primary Schools,-34.337951,138.918029,SA
202,Alberton Primary School,14 Broad Street,Queenstown,5014,Government,Primary Schools,-34.862675,138.51264,SA
204,Kersbrook Primary School,Bowden Street,Kersbrook,5231,Government,Primary Schools,-34.782306,138.849719,SA
205,Keyneton Primary School,Henschke Road,Keyneton,5353,Government,Primary Schools,-34.554333,139.1338,SA
207,Kilkenny Primary School,Jane Street,West Croydon,5008,Government,Primary Schools,-34.890764,138.552731,SA
209,Kingston-on-Murray Primary School,East Terrace,Kingston on Murray,5331,Government,Primary Schools,-34.222619,140.346866,SA
210,Aldgate Primary School,3 Fairview Road,Aldgate,5154,Government,Primary Schools,-35.019502,138.748939,SA
211,Kongorong Primary School,34 School Road,Kongorong,5291,Government,Primary Schools,-37.902241,140.560875,SA
