id,school_name,school_type,Official Low Year Level,Official High Year Level,school_address,suburb,postcode,Sector,sector,school_lon,school_lat
5817,A B Paterson College (Arundel),,Prep Year,Year 12,10 A B Paterson Drive,Arundel,4214,Non-State,Independent,153.360364,-27.927672
591,Abercorn State School,,Prep Year,Year 6,957 Wuruma Dam Road,Abercorn,4627,State,,151.127031,-25.135955
1275,Abergowrie State School,,Prep Year,Year 6,5 Venables Road,Abergowrie,4850,State,,145.88351,-18.474697
5588,Aboriginal & Islander Independent Community School (Acacia Ridge),,Prep Year,Year 12,1277 Beaudesert Road,Acacia Ridge,4110,Non-State,Independent,153.025757,-27.581562
25,Acacia Ridge State School,,Early Childhood,Year 6,Nyngam Street,Acacia Ridge,4110,State,,153.016074,-27.579554
1983,Agnes Water State School,,Prep Year,Year 6,1 Donohue Drive,Agnes Water,4677,State,,151.91056,-24.213972
598,Airville State School,,Prep Year,Year 6,Old Clare Road,Airville,4807,State,,147.347629,-19.65519
801,Aitkenvale State School,,Prep Year,Year 6,67-85 Wotton Street,Aitkenvale,4814,State,,146.763058,-19.296785
2155,Albany Creek State High School,,Year 7,Year 12,Albany Forest Drive,Albany Creek,4035,State,,152.968606,-27.357634
190,Albany Creek State School,,Prep Year,Year 6,696 Albany Creek Road,Albany Creek,4035,State,,152.970666,-27.34586
1892,Albany Hills State School,,Prep Year,Year 6,Keong Road,Albany Creek,4035,State,,152.97278,-27.36034
5636,Albert Park Flexible Learning Centre (Milton),,Year 11,Year 12,1 Hale Street,Milton,4064,Non-State,Catholic,153.010813,-27.4659
38,Albert State School,,Prep Year,Year 6,210-220 Albert Street,Maryborough,4650,State,,152.703888,-25.546785
2017,Aldridge State High School,,Year 7,Year 12,Boys Avenue,Maryborough,4650,State,,152.688545,-25.516557
1963,Alexandra Bay State School,,Early Childhood,Year 6,Lot 1 Cape Tribulation Road,Diwan,4873,State,,145.42225,-16.213862
2175,Alexandra Hills State High School,,Year 7,Year 12,Windemere Road,Alexandra Hills,4161,State,,153.215428,-27.523768
405,Alexandra Hills State School,,Prep Year,Year 6,12 Princeton Avenue,Alexandra Hills,4161,State,,153.221279,-27.518141
1866,Algester State School,,Prep Year,Year 6,19 Endiandra Street,Algester,4115,State,,153.031915,-27.615675
5369,All Hallows' School (Brisbane),,Year 5,Year 12,547 Ann Street,Brisbane,4000,Non-State,Catholic,153.032816,-27.460894
5452,All Saints Anglican School (Merrimac),,Prep Year,Year 12,Highfield Drive,Merrimac,4226,Non-State,Independent,153.361156,-28.060893
5600,All Saints Primary School (Albany Creek),,Prep Year,Year 6,4 Faheys Road East,Albany Creek,4035,Non-State,Catholic,152.970693,-27.350094
5111,All Saints' School (Boonah),,Prep Year,Year 6,15 Oliver Street,Boonah,4310,Non-State,Catholic,152.686423,-28.000349
