Postcode,Suburb,City,State,Statecode,1 BR Flat,2 BR Flat,3 BR Flat,4 BR Flat,1 BR House,2 BR House,3 BR House,4 BR House,id
5000,Adelaide,Adelaide,South Australia,SA,305.0,450.0,550.0,,162.5,425.0,450.0,452.5,1
5001,Adelaide,Adelaide,South Australia,SA,305.0,450.0,550.0,,162.5,425.0,450.0,452.5,2
5159,Aberfoyle Park,Adelaide,South Australia,SA,,320.0,370.0,,,380.0,345.0,425.0,3
5000,City West Campus,Adelaide,South Australia,SA,,,,,,,,,4
5000,Halifax Street,Adelaide,South Australia,SA,,,,,,,,,5
5014,Albert Park,Adelaide,South Australia,SA,205.5,259.2,,,,275.0,350.0,390.0,6
5000,Hutt Street,Adelaide,South Australia,SA,,,,,,,,,7
5014,Alberton,Adelaide,South Australia,SA,210.0,277.5,,,,,347.5,450.0,8
5000,Parliament House,Adelaide,South Australia,SA,,,,,,,,,9
5173,Aldinga,Adelaide,South Australia,SA,,235.0,,,280.0,250.0,325.0,355.0,10
5000,Rundle Mall,Adelaide,South Australia,SA,,,,,,,,,11
5173,Aldinga Beach,Adelaide,South Australia,SA,,240.0,320.0,,,270.0,325.0,380.0,12
5000,Station Arcade,Adelaide,South Australia,SA,,,,,,,,,13
5009,Allenby Gardens,Adelaide,South Australia,SA,,290.0,320.0,,,370.0,380.0,482.5,14
5000,Sturt Street,Adelaide,South Australia,SA,,,,,,,,,15
5114,Andrews Farm,Adelaide,South Australia,SA,,194.0,290.0,,212.5,202.0,290.0,335.0,16
5010,Angle Park,Adelaide,South Australia,SA,230.0,240.0,,,,97.87,215.0,,17
5005,Adelaide University,Adelaide,South Australia,SA,,,,,,,,,18
5117,Angle Vale,Adelaide,South Australia,SA,,,,,,,350.0,,19
5005,The University Of Adelaide,Adelaide,South Australia,SA,,,,,,,,,20
5043,Ascot Park,Adelaide,South Australia,SA,220.0,281.25,320.0,395.0,176.0,,365.0,475.0,21
5005,University Of Adelaide,Adelaide,South Australia,SA,,,,,,,,,22
5035,Ashford,Adelaide,South Australia,SA,,297.5,380.0,,,425.0,460.0,412.5,23
5006,North Adelaide,Adelaide,South Australia,SA,310.0,360.0,480.0,,372.5,395.0,570.0,782.5,24
5076,Athelstone,Adelaide,South Australia,SA,,320.0,345.0,,,320.0,397.5,550.0,25
5006,North Adelaide Melbourne St,Adelaide,South Australia,SA,,340.0,,,,,,,26
5012,Athol Park,Adelaide,South Australia,SA,,300.0,345.0,,,155.45,382.5,,27
5007,Bowden,Adelaide,South Australia,SA,253.0,395.0,352.1,,260.0,252.8,416.0,,28
5072,Auldana,Adelaide,South Australia,SA,,,,,,,420.0,,29
5007,Brompton,Adelaide,South Australia,SA,,360.0,395.0,,335.0,360.0,422.5,532.5,30
5091,Banksia Park,Adelaide,South Australia,SA,,,,,,,370.0,410.0,31
5007,Hindmarsh,Adelaide,South Australia,SA,190.0,275.0,,,,307.5,,,32
5066,Beaumont,Adelaide,South Australia,SA,,,,,,292.5,,,33
5007,Welland,Adelaide,South Australia,SA,,375.0,,,,320.0,450.0,360.0,34
5042,Bedford Park,Adelaide,South Australia,SA,,297.5,320.0,,150.0,,350.0,360.0,35
5007,West Hindmarsh,Adelaide,South Australia,SA,220.0,300.0,370.0,,,325.0,415.0,470.0,36
5052,Belair,Adelaide,South Australia,SA,225.0,,,,,,387.5,555.0,37
5008,Croydon,Adelaide,South Australia,SA,,250.0,,,147.5,160.0,330.0,150.0,38
5050,Bellevue Heights,Adelaide,South Australia,SA,222.5,,360.0,,,305.0,355.0,400.0,39
5008,Croydon Park,Adelaide,South Australia,SA,,267.5,,,,320.0,355.0,,40
