,,,,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count
period,,,,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4
suburb,postcode,Category,Subcategory,,,,,,,,,,,,,,,,,,,,,,
ABERFOYLE PARK,5159,ACTS INTENDED TO CAUSE INJURY,Assault Police,,2.0,,,,,,1.0,,,,,,1.0,,,,,1.0,,1.0,
ABERFOYLE PARK,5159,ACTS INTENDED TO CAUSE INJURY,Common Assault,7.0,3.0,4.0,3.0,4.0,3.0,6.0,6.0,11.0,2.0,4.0,6.0,2.0,4.0,3.0,7.0,5.0,8.0,1.0,3.0,7.0,3.0
ABERFOYLE PARK,5159,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,1.0,,2.0,1.0,,,1.0,1.0,2.0,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,2.0
ABERFOYLE PARK,5159,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,2.0,3.0,4.0,11.0,10.0,6.0,8.0,5.0,12.0,8.0,7.0,8.0,10.0,10.0,7.0,7.0,9.0,10.0,10.0,5.0,8.0,12.0
ABERFOYLE PARK,5159,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,
ABERFOYLE PARK,5159,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,2.0,,2.0,5.0,1.0,2.0,2.0,,3.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0
ABERFOYLE PARK,5159,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",,,,,,,,,,,,,,,1.0,1.0,,,,,,
ABERFOYLE PARK,5159,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",4.0,2.0,5.0,2.0,5.0,4.0,3.0,2.0,8.0,4.0,1.0,8.0,4.0,3.0,4.0,3.0,1.0,1.0,5.0,9.0,3.0,5.0
ABERFOYLE PARK,5159,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,,,,1.0,,1.0,3.0,,,,,,,2.0,2.0,1.0,1.0,,1.0,1.0,
ABERFOYLE PARK,5159,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,1.0,4.0,1.0,,,5.0,6.0,1.0,,1.0,4.0,4.0,,,,3.0,,,,1.0,,
ABERFOYLE PARK,5159,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,6.0,4.0,5.0,14.0,15.0,3.0,2.0,4.0,9.0,7.0,11.0,13.0,3.0,3.0,3.0,,4.0,5.0,2.0,5.0,8.0,6.0
ABERFOYLE PARK,5159,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,29.0,22.0,35.0,17.0,23.0,17.0,13.0,14.0,14.0,14.0,13.0,14.0,9.0,16.0,8.0,10.0,7.0,11.0,13.0,12.0,13.0,22.0
