,Unnamed: 0_level_0,Quarter,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4,Q4
,district,suburb,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Motor vehicle theft,Theft (excluding Motor Vehicles),Robbery,Road fatality,Road collision with injury,Traffic Infringement Notices,Property damage,Other offences
0,Belconnen,,1,183,23,10,162,77,529,21,0,36,1044,283,455,0,119,34,9,136,59,518,15,1,35,1269,275,590,0,123,23,10,96,46,487,12,2,32,1246,234,484,0,127,29,5,101,46,548,6,1,31,1110,337,558
1,,Aranda,0,0,0,0,3,2,7,0,0,4,131,10,23,0,2,0,0,4,1,5,0,0,2,174,3,45,0,0,0,0,2,3,8,1,0,1,122,1,15,0,0,0,0,3,1,13,0,0,1,180,3,25
2,,Belconnen,0,64,15,1,17,10,180,11,0,12,181,61,138,0,39,16,3,14,14,174,6,0,6,212,58,175,0,41,12,1,15,11,192,7,0,7,246,58,150,0,42,14,1,10,11,226,2,0,5,200,82,180
3,,Bruce,0,11,0,0,11,9,39,0,0,4,168,21,22,0,3,3,0,9,3,31,0,0,2,116,19,24,0,8,1,2,9,3,14,0,0,3,165,7,22,0,2,1,0,11,4,39,0,0,3,147,29,32
4,,Charnwood,0,10,0,2,7,0,24,0,0,2,17,7,23,0,4,2,0,0,2,19,0,0,4,38,15,51,0,5,0,1,2,4,12,0,0,2,48,9,24,0,15,1,0,5,3,17,0,0,0,25,18,19
5,,Cook,0,1,0,0,0,3,0,0,0,0,18,4,5,0,0,0,0,4,1,6,0,0,0,36,4,2,0,0,0,0,3,0,5,0,0,1,33,5,7,0,1,0,1,1,2,5,0,1,0,25,6,1
6,,Dunlop,0,6,0,0,9,2,19,0,0,0,23,25,19,0,7,0,1,8,0,18,1,0,3,14,24,17,0,5,2,0,0,1,11,0,0,0,10,10,9,0,7,1,0,9,1,13,0,0,3,8,19,18
7,,Evatt,0,9,0,0,19,2,34,0,0,1,21,18,19,0,8,0,0,15,6,16,0,0,2,25,11,19,0,7,0,0,7,1,19,0,1,0,29,16,24,0,2,2,0,7,1,12,0,0,0,35,10,19
8,,Florey,0,4,0,0,12,6,16,1,0,2,39,14,12,0,0,0,0,1,5,18,0,0,1,61,20,29,0,3,2,0,6,3,12,0,0,2,42,21,24,0,6,1,0,3,0,14,0,0,3,41,20,27
9,,Flynn,0,7,0,0,3,1,7,0,0,1,13,4,7,0,4,1,0,0,1,8,0,0,2,15,4,8,0,1,1,0,2,0,4,0,0,2,22,2,5,0,2,0,0,2,0,6,0,0,0,13,3,2
10,,Fraser,0,2,0,0,1,0,2,0,0,1,16,4,5,0,2,0,0,3,1,3,0,0,0,6,1,2,0,1,0,0,0,3,4,0,0,0,35,6,14,0,2,0,0,0,0,1,0,0,1,21,1,14
11,,Giralang,0,4,0,0,4,6,5,0,0,2,61,8,10,0,3,0,0,7,0,17,0,0,2,86,4,11,0,3,1,0,2,0,17,0,0,1,24,4,13,0,4,0,0,3,4,19,0,0,1,19,12,8
