,,,0
0,Q1,Homicide,0.0
0,Q1,Assault,146.0
0,Q1,Sexual assault,32.0
0,Q1,Offences against a person,37.0
0,Q1,Burglary,99.0
0,Q1,Motor vehicle theft,19.0
0,Q1,Theft (excluding Motor Vehicles),423.0
0,Q1,Robbery,6.0
0,Q1,Road fatality,0.0
0,Q1,Road collision with injury,25.0
0,Q1,Traffic Infringement Notices,692.0
0,Q1,Property damage,216.0
0,Q1,Other offences,499.0
0,Q1,suburb,
0,Q1,district,
0,Q2,Homicide,0.0
0,Q2,Assault,145.0
0,Q2,Sexual assault,19.0
0,Q2,Offences against a person,17.0
0,Q2,Burglary,94.0
0,Q2,Motor vehicle theft,83.0
0,Q2,Theft (excluding Motor Vehicles),540.0
0,Q2,Robbery,9.0
0,Q2,Road fatality,0.0
0,Q2,Road collision with injury,38.0
0,Q2,Traffic Infringement Notices,683.0
0,Q2,Property damage,268.0
0,Q2,Other offences,693.0
0,Q2,suburb,
0,Q2,district,
0,Q3,Homicide,0.0
0,Q3,Assault,121.0
0,Q3,Sexual assault,18.0
0,Q3,Offences against a person,18.0
0,Q3,Burglary,103.0
0,Q3,Motor vehicle theft,66.0
0,Q3,Theft (excluding Motor Vehicles),435.0
0,Q3,Robbery,10.0
0,Q3,Road fatality,0.0
0,Q3,Road collision with injury,23.0
0,Q3,Traffic Infringement Notices,1067.0
0,Q3,Property damage,230.0
0,Q3,Other offences,593.0
0,Q3,suburb,
0,Q3,district,
0,Q4,Homicide,0.0
0,Q4,Assault,156.0
0,Q4,Sexual assault,28.0
0,Q4,Offences against a person,26.0
0,Q4,Burglary,82.0
0,Q4,Motor vehicle theft,51.0
0,Q4,Theft (excluding Motor Vehicles),419.0
0,Q4,Robbery,11.0
0,Q4,Road fatality,0.0
0,Q4,Road collision with injury,27.0
0,Q4,Traffic Infringement Notices,883.0
0,Q4,Property damage,287.0
0,Q4,Other offences,672.0
0,Q4,suburb,
0,Q4,district,
0,Unnamed: 0_level_0,Homicide,
0,Unnamed: 0_level_0,Assault,
0,Unnamed: 0_level_0,Sexual assault,
0,Unnamed: 0_level_0,Offences against a person,
0,Unnamed: 0_level_0,Burglary,
0,Unnamed: 0_level_0,Motor vehicle theft,
0,Unnamed: 0_level_0,Theft (excluding Motor Vehicles),
0,Unnamed: 0_level_0,Robbery,
0,Unnamed: 0_level_0,Road fatality,
0,Unnamed: 0_level_0,Road collision with injury,
0,Unnamed: 0_level_0,Traffic Infringement Notices,
0,Unnamed: 0_level_0,Property damage,
0,Unnamed: 0_level_0,Other offences,
0,Unnamed: 0_level_0,suburb,
0,Unnamed: 0_level_0,district,Belconnen
1,Q1,Homicide,0.0
1,Q1,Assault,4.0
1,Q1,Sexual assault,0.0
1,Q1,Offences against a person,0.0
1,Q1,Burglary,3.0
1,Q1,Motor vehicle theft,0.0
1,Q1,Theft (excluding Motor Vehicles),5.0
1,Q1,Robbery,0.0
1,Q1,Road fatality,0.0
1,Q1,Road collision with injury,1.0
1,Q1,Traffic Infringement Notices,100.0
1,Q1,Property damage,9.0
1,Q1,Other offences,20.0
1,Q1,suburb,
1,Q1,district,
1,Q2,Homicide,0.0
1,Q2,Assault,1.0
1,Q2,Sexual assault,0.0
1,Q2,Offences against a person,0.0
1,Q2,Burglary,1.0
1,Q2,Motor vehicle theft,3.0
1,Q2,Theft (excluding Motor Vehicles),10.0
1,Q2,Robbery,1.0
1,Q2,Road fatality,0.0
1,Q2,Road collision with injury,5.0
1,Q2,Traffic Infringement Notices,66.0
1,Q2,Property damage,2.0
1,Q2,Other offences,17.0
1,Q2,suburb,
1,Q2,district,
1,Q3,Homicide,0.0
1,Q3,Assault,5.0
1,Q3,Sexual assault,0.0
1,Q3,Offences against a person,0.0
1,Q3,Burglary,2.0
1,Q3,Motor vehicle theft,1.0
1,Q3,Theft (excluding Motor Vehicles),3.0
1,Q3,Robbery,0.0
1,Q3,Road fatality,0.0
1,Q3,Road collision with injury,1.0
1,Q3,Traffic Infringement Notices,121.0
1,Q3,Property damage,1.0
1,Q3,Other offences,25.0
1,Q3,suburb,
1,Q3,district,
1,Q4,Homicide,0.0
1,Q4,Assault,4.0
1,Q4,Sexual assault,0.0
1,Q4,Offences against a person,0.0
1,Q4,Burglary,3.0
1,Q4,Motor vehicle theft,0.0
1,Q4,Theft (excluding Motor Vehicles),5.0
1,Q4,Robbery,0.0
1,Q4,Road fatality,0.0
1,Q4,Road collision with injury,1.0
1,Q4,Traffic Infringement Notices,100.0
1,Q4,Property damage,9.0
1,Q4,Other offences,20.0
1,Q4,suburb,
1,Q4,district,
1,Quarter,Homicide,
1,Quarter,Assault,
1,Quarter,Sexual assault,
1,Quarter,Offences against a person,
1,Quarter,Burglary,
1,Quarter,Motor vehicle theft,
1,Quarter,Theft (excluding Motor Vehicles),
1,Quarter,Robbery,
1,Quarter,Road fatality,
1,Quarter,Road collision with injury,
1,Quarter,Traffic Infringement Notices,
1,Quarter,Property damage,
1,Quarter,Other offences,
1,Quarter,suburb,Aranda
1,Quarter,district,
2,Q1,Homicide,0.0
2,Q1,Assault,36.0
2,Q1,Sexual assault,4.0
2,Q1,Offences against a person,4.0
2,Q1,Burglary,14.0
2,Q1,Motor vehicle theft,13.0
2,Q1,Theft (excluding Motor Vehicles),145.0
2,Q1,Robbery,5.0
2,Q1,Road fatality,0.0
2,Q1,Road collision with injury,3.0
2,Q1,Traffic Infringement Notices,161.0
2,Q1,Property damage,116.0
2,Q1,Other offences,171.0
2,Q1,suburb,
2,Q1,district,
2,Q2,Homicide,0.0
2,Q2,Assault,33.0
2,Q2,Sexual assault,3.0
2,Q2,Offences against a person,0.0
2,Q2,Burglary,21.0
2,Q2,Motor vehicle theft,15.0
2,Q2,Theft (excluding Motor Vehicles),177.0
2,Q2,Robbery,2.0
2,Q2,Road fatality,0.0
2,Q2,Road collision with injury,7.0
2,Q2,Traffic Infringement Notices,171.0
2,Q2,Property damage,52.0
2,Q2,Other offences,149.0
2,Q2,suburb,
2,Q2,district,
2,Q3,Homicide,0.0
2,Q3,Assault,25.0
2,Q3,Sexual assault,9.0
2,Q3,Offences against a person,7.0
2,Q3,Burglary,23.0
2,Q3,Motor vehicle theft,8.0
2,Q3,Theft (excluding Motor Vehicles),168.0
2,Q3,Robbery,3.0
2,Q3,Road fatality,0.0
2,Q3,Road collision with injury,2.0
2,Q3,Traffic Infringement Notices,203.0
2,Q3,Property damage,45.0
2,Q3,Other offences,132.0
2,Q3,suburb,
2,Q3,district,
2,Q4,Homicide,0.0
2,Q4,Assault,36.0
2,Q4,Sexual assault,4.0
2,Q4,Offences against a person,4.0
2,Q4,Burglary,14.0
2,Q4,Motor vehicle theft,13.0
2,Q4,Theft (excluding Motor Vehicles),145.0
2,Q4,Robbery,5.0
2,Q4,Road fatality,0.0
2,Q4,Road collision with injury,3.0
2,Q4,Traffic Infringement Notices,161.0
2,Q4,Property damage,116.0
2,Q4,Other offences,171.0
2,Q4,suburb,
2,Q4,district,
2,Quarter,Homicide,
2,Quarter,Assault,
2,Quarter,Sexual assault,
2,Quarter,Offences against a person,
2,Quarter,Burglary,
2,Quarter,Motor vehicle theft,
2,Quarter,Theft (excluding Motor Vehicles),
2,Quarter,Robbery,
2,Quarter,Road fatality,
2,Quarter,Road collision with injury,
2,Quarter,Traffic Infringement Notices,
2,Quarter,Property damage,
2,Quarter,Other offences,
2,Quarter,suburb,Belconnen
2,Quarter,district,
3,Q1,Homicide,0.0
3,Q1,Assault,5.0
3,Q1,Sexual assault,2.0
3,Q1,Offences against a person,4.0
3,Q1,Burglary,2.0
3,Q1,Motor vehicle theft,3.0
3,Q1,Theft (excluding Motor Vehicles),17.0
3,Q1,Robbery,1.0
3,Q1,Road fatality,0.0
3,Q1,Road collision with injury,2.0
3,Q1,Traffic Infringement Notices,146.0
3,Q1,Property damage,9.0
3,Q1,Other offences,33.0
3,Q1,suburb,
3,Q1,district,
3,Q2,Homicide,0.0
3,Q2,Assault,7.0
3,Q2,Sexual assault,1.0
3,Q2,Offences against a person,2.0
3,Q2,Burglary,6.0
3,Q2,Motor vehicle theft,9.0
3,Q2,Theft (excluding Motor Vehicles),45.0
3,Q2,Robbery,1.0
3,Q2,Road fatality,0.0
3,Q2,Road collision with injury,4.0
3,Q2,Traffic Infringement Notices,92.0
3,Q2,Property damage,39.0
3,Q2,Other offences,36.0
3,Q2,suburb,
3,Q2,district,
3,Q3,Homicide,0.0
3,Q3,Assault,5.0
3,Q3,Sexual assault,0.0
3,Q3,Offences against a person,0.0
3,Q3,Burglary,8.0
3,Q3,Motor vehicle theft,3.0
3,Q3,Theft (excluding Motor Vehicles),18.0
3,Q3,Robbery,0.0
3,Q3,Road fatality,0.0
3,Q3,Road collision with injury,4.0
3,Q3,Traffic Infringement Notices,112.0
3,Q3,Property damage,14.0
3,Q3,Other offences,37.0
3,Q3,suburb,
3,Q3,district,
3,Q4,Homicide,0.0
3,Q4,Assault,5.0
3,Q4,Sexual assault,2.0
3,Q4,Offences against a person,4.0
3,Q4,Burglary,2.0
3,Q4,Motor vehicle theft,3.0
3,Q4,Theft (excluding Motor Vehicles),17.0
3,Q4,Robbery,1.0
3,Q4,Road fatality,0.0
3,Q4,Road collision with injury,2.0
3,Q4,Traffic Infringement Notices,146.0
3,Q4,Property damage,9.0
3,Q4,Other offences,33.0
3,Q4,suburb,
3,Q4,district,
3,Quarter,Homicide,
3,Quarter,Assault,
3,Quarter,Sexual assault,
3,Quarter,Offences against a person,
3,Quarter,Burglary,
3,Quarter,Motor vehicle theft,
3,Quarter,Theft (excluding Motor Vehicles),
3,Quarter,Robbery,
3,Quarter,Road fatality,
3,Quarter,Road collision with injury,
3,Quarter,Traffic Infringement Notices,
3,Quarter,Property damage,
3,Quarter,Other offences,
3,Quarter,suburb,Bruce
3,Quarter,district,
4,Q1,Homicide,0.0
4,Q1,Assault,9.0
4,Q1,Sexual assault,0.0
4,Q1,Offences against a person,1.0
4,Q1,Burglary,1.0
4,Q1,Motor vehicle theft,1.0
4,Q1,Theft (excluding Motor Vehicles),8.0
4,Q1,Robbery,2.0
4,Q1,Road fatality,0.0
4,Q1,Road collision with injury,2.0
4,Q1,Traffic Infringement Notices,29.0
4,Q1,Property damage,6.0
4,Q1,Other offences,58.0
4,Q1,suburb,
4,Q1,district,
4,Q2,Homicide,0.0
4,Q2,Assault,8.0
4,Q2,Sexual assault,0.0
4,Q2,Offences against a person,1.0
4,Q2,Burglary,5.0
4,Q2,Motor vehicle theft,1.0
4,Q2,Theft (excluding Motor Vehicles),21.0
4,Q2,Robbery,0.0
4,Q2,Road fatality,0.0
4,Q2,Road collision with injury,1.0
4,Q2,Traffic Infringement Notices,21.0
4,Q2,Property damage,13.0
4,Q2,Other offences,37.0
4,Q2,suburb,
4,Q2,district,
4,Q3,Homicide,0.0
4,Q3,Assault,6.0
4,Q3,Sexual assault,1.0
4,Q3,Offences against a person,0.0
4,Q3,Burglary,1.0
4,Q3,Motor vehicle theft,6.0
4,Q3,Theft (excluding Motor Vehicles),16.0
4,Q3,Robbery,0.0
4,Q3,Road fatality,0.0
4,Q3,Road collision with injury,1.0
4,Q3,Traffic Infringement Notices,32.0
4,Q3,Property damage,13.0
4,Q3,Other offences,30.0
4,Q3,suburb,
4,Q3,district,
4,Q4,Homicide,0.0
4,Q4,Assault,9.0
4,Q4,Sexual assault,0.0
4,Q4,Offences against a person,1.0
4,Q4,Burglary,1.0
4,Q4,Motor vehicle theft,1.0
4,Q4,Theft (excluding Motor Vehicles),8.0
4,Q4,Robbery,2.0
4,Q4,Road fatality,0.0
4,Q4,Road collision with injury,2.0
4,Q4,Traffic Infringement Notices,29.0
4,Q4,Property damage,6.0
4,Q4,Other offences,58.0
4,Q4,suburb,
4,Q4,district,
4,Quarter,Homicide,
4,Quarter,Assault,
4,Quarter,Sexual assault,
4,Quarter,Offences against a person,
4,Quarter,Burglary,
4,Quarter,Motor vehicle theft,
4,Quarter,Theft (excluding Motor Vehicles),
4,Quarter,Robbery,
4,Quarter,Road fatality,
4,Quarter,Road collision with injury,
4,Quarter,Traffic Infringement Notices,
4,Quarter,Property damage,
4,Quarter,Other offences,
4,Quarter,suburb,Charnwood
4,Quarter,district,
5,Q1,Homicide,0.0
5,Q1,Assault,0.0
5,Q1,Sexual assault,0.0
5,Q1,Offences against a person,0.0
5,Q1,Burglary,1.0
5,Q1,Motor vehicle theft,1.0
5,Q1,Theft (excluding Motor Vehicles),11.0
5,Q1,Robbery,0.0
5,Q1,Road fatality,0.0
5,Q1,Road collision with injury,2.0
5,Q1,Traffic Infringement Notices,52.0
5,Q1,Property damage,2.0
5,Q1,Other offences,10.0
5,Q1,suburb,
5,Q1,district,
5,Q2,Homicide,0.0
5,Q2,Assault,3.0
5,Q2,Sexual assault,1.0
5,Q2,Offences against a person,0.0
5,Q2,Burglary,2.0
5,Q2,Motor vehicle theft,1.0
5,Q2,Theft (excluding Motor Vehicles),4.0
5,Q2,Robbery,0.0
5,Q2,Road fatality,0.0
5,Q2,Road collision with injury,0.0
5,Q2,Traffic Infringement Notices,29.0
5,Q2,Property damage,0.0
