district,category,subcategory,year,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2011 Q3,1
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2011 Q4,2
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2012 Q1,2
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2012 Q2,1
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2012 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2012 Q4,1
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2013 Q1,2
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2013 Q2,1
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2013 Q3,1
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2013 Q4,1
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2014 Q1,1
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2014 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2014 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2014 Q4,1
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2015 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2015 Q2,1
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2015 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2015 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2016 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2016 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2016 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2016 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2017 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2017 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2017 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2017 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0111 Murder,2018 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2011 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2011 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2012 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2012 Q2,1
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2012 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2012 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2013 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2013 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2013 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2013 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2014 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2014 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2014 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2014 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2015 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2015 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2015 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2015 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2016 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2016 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2016 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2016 Q4,1
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2017 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2017 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2017 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2017 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0121 Attempted Murder,2018 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2011 Q3,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2011 Q4,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2012 Q1,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2012 Q2,0
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2012 Q3,1
Alice Springs Crime Statistics,01 Homicide and related offences, 0131 Manslaughter,2012 Q4,0
