district,category,subcategory,year,records
Northern Territory Crime Statistics,Homicide and related offences,Murder,2011 Q3,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2011 Q4,5
Northern Territory Crime Statistics,Homicide and related offences,Murder,2012 Q1,4
Northern Territory Crime Statistics,Homicide and related offences,Murder,2012 Q2,5
Northern Territory Crime Statistics,Homicide and related offences,Murder,2012 Q3,5
Northern Territory Crime Statistics,Homicide and related offences,Murder,2012 Q4,2
Northern Territory Crime Statistics,Homicide and related offences,Murder,2013 Q1,3
Northern Territory Crime Statistics,Homicide and related offences,Murder,2013 Q2,2
Northern Territory Crime Statistics,Homicide and related offences,Murder,2013 Q3,2
Northern Territory Crime Statistics,Homicide and related offences,Murder,2013 Q3,2
Northern Territory Crime Statistics,Homicide and related offences,Murder,2013 Q3,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2013 Q4,2
Northern Territory Crime Statistics,Homicide and related offences,Murder,2013 Q4,2
Northern Territory Crime Statistics,Homicide and related offences,Murder,2013 Q4,2
Northern Territory Crime Statistics,Homicide and related offences,Murder,2014 Q1,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2014 Q1,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2014 Q1,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2014 Q2,2
Northern Territory Crime Statistics,Homicide and related offences,Murder,2014 Q2,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2014 Q2,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2014 Q3,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2014 Q3,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2014 Q3,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2014 Q4,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2014 Q4,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2014 Q4,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2015 Q1,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2015 Q1,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2015 Q1,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2015 Q2,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2015 Q2,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2015 Q2,3
Northern Territory Crime Statistics,Homicide and related offences,Murder,2015 Q3,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2015 Q3,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2015 Q3,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2015 Q4,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2015 Q4,2
Northern Territory Crime Statistics,Homicide and related offences,Murder,2015 Q4,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2016 Q1,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2016 Q1,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2016 Q1,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2016 Q2,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2016 Q2,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2016 Q2,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2016 Q3,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2016 Q3,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2016 Q3,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2016 Q4,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2016 Q4,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2016 Q4,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2017 Q1,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2017 Q1,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2017 Q1,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2017 Q2,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2017 Q2,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2017 Q2,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2017 Q3,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2017 Q3,1
Northern Territory Crime Statistics,Homicide and related offences,Murder,2017 Q3,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2017 Q4,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2017 Q4,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2017 Q4,0
Northern Territory Crime Statistics,Homicide and related offences,Murder,2018 Q1,0
