suburb,postcode,Category,Subcategory,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4
ABERFOYLE PARK,5159,ACTS INTENDED TO CAUSE INJURY,Assault Police,,2,,,,,,1,,,,,,1,,,,,1,,1,
ABERFOYLE PARK,5159,ACTS INTENDED TO CAUSE INJURY,Common Assault,7,3,4,3,4,3,6,6,11,2,4,6,2,4,3,7,5,8,1,3,7,3
ABERFOYLE PARK,5159,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,1,,2,1,,,1,1,2,,,,1,,1,1,,1,1,,1,2
ABERFOYLE PARK,5159,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,2,3,4,11,10,6,8,5,12,8,7,8,10,10,7,7,9,10,10,5,8,12
ABERFOYLE PARK,5159,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,,1,,,,1,1,,,1,1,,,,,,,,1,,,
ABERFOYLE PARK,5159,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,2,,2,5,1,2,2,,3,4,2,2,1,3,2,3,2,3,2,1,1,3
ABERFOYLE PARK,5159,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",,,,,,,,,,,,,,,1,1,,,,,,
ABERFOYLE PARK,5159,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",4,2,5,2,5,4,3,2,8,4,1,8,4,3,4,3,1,1,5,9,3,5
ABERFOYLE PARK,5159,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,,,,1,,1,3,,,,,,,2,2,1,1,,1,1,
ABERFOYLE PARK,5159,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,1,4,1,,,5,6,1,,1,4,4,,,,3,,,,1,,
ABERFOYLE PARK,5159,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,6,4,5,14,15,3,2,4,9,7,11,13,3,3,3,,4,5,2,5,8,6
ABERFOYLE PARK,5159,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,29,22,35,17,23,17,13,14,14,14,13,14,9,16,8,10,7,11,13,12,13,22
ABERFOYLE PARK,5159,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,3,,4,1,2,2,,3,,,2,1,3,2,3,3,,1,1,1,1,3
ABERFOYLE PARK,5159,ROBBERY AND RELATED OFFENCES,Aggravated robbery,,1,,,,,2,,1,,,,1,,1,,,,,,,1
ABERFOYLE PARK,5159,ROBBERY AND RELATED OFFENCES,Blackmail and extortion,,,1,,,,,,,,,1,,,,,,1,,,,
ABERFOYLE PARK,5159,ROBBERY AND RELATED OFFENCES,Non-aggravated robbery,,,,,,,,2,1,,,,1,,,,,,,,,
ABERFOYLE PARK,5159,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,8,6,7,1,3,2,8,3,4,3,5,4,4,2,4,3,,1,,3,3,4
ABERFOYLE PARK,5159,SERIOUS CRIMINAL TRESPASS,SCT - Residence,9,3,14,8,8,7,9,1,6,5,1,1,5,6,1,9,3,6,3,2,6,4
ABERFOYLE PARK,5159,THEFT AND RELATED OFFENCES,Other theft,14,13,14,13,16,19,21,21,15,18,20,13,9,16,14,11,12,15,10,12,16,22
ABERFOYLE PARK,5159,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,1,,2,,1,1,2,2,,3,,1,,,,,,,,,2,
ABERFOYLE PARK,5159,THEFT AND RELATED OFFENCES,Theft from motor vehicle,27,17,14,18,4,6,7,11,8,5,8,8,14,3,4,8,10,7,4,5,11,
ABERFOYLE PARK,5159,THEFT AND RELATED OFFENCES,Theft from shop,3,4,2,2,1,7,2,1,2,3,3,4,3,4,3,3,2,3,3,1,6,3
ABERFOYLE PARK,5159,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,1,2,1,3,2,5,4,2,2,6,3,2,6,1,2,1,2,,1,1,4,2
ADELAIDE,5000,ACTS INTENDED TO CAUSE INJURY,Assault Police,25,29,60,32,26,30,24,21,25,23,32,27,20,40,29,33,24,36,55,23,21,29
ADELAIDE,5000,ACTS INTENDED TO CAUSE INJURY,Common Assault,205,185,232,216,196,161,203,171,191,220,211,175,169,175,213,179,225,199,208,193,167,199
ADELAIDE,5000,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,6,9,6,13,10,3,8,4,5,9,5,8,9,9,14,6,5,7,3,3,8,7
ADELAIDE,5000,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,91,90,99,76,89,106,108,96,106,89,91,81,96,95,103,88,95,106,103,98,84,103
ADELAIDE,5000,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,16,16,15,10,10,11,12,11,12,11,10,7,10,11,6,3,11,9,18,6,12,10
ADELAIDE,5000,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,44,63,50,84,48,68,50,80,74,53,71,71,67,53,52,45,90,56,53,46,53,71
ADELAIDE,5000,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",11,5,9,7,15,9,15,8,19,9,6,18,5,14,15,13,13,9,16,11,20,16
ADELAIDE,5000,HOMICIDE AND RELATED OFFENCES,Murder,1,1,,,,,,,,1,1,,,,,,,,,1,,
ADELAIDE,5000,HOMICIDE AND RELATED OFFENCES,Other homicide and related offences,,1,1,,,,,,,,1,,,,1,,,,2,,1,1
ADELAIDE,5000,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",13,15,16,10,18,10,9,15,24,17,20,14,23,16,14,21,13,11,14,18,12,14
ADELAIDE,5000,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,2,5,2,4,4,,2,3,2,8,5,6,,1,2,,5,4,3,4,1
ADELAIDE,5000,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,14,23,18,12,14,18,12,23,33,19,31,15,12,9,19,11,9,19,17,15,19,8
ADELAIDE,5000,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,22,34,31,38,41,21,24,26,25,32,32,29,31,19,27,17,31,25,23,23,26,18
ADELAIDE,5000,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,209,208,195,176,175,196,184,149,166,153,148,159,153,143,144,164,165,174,176,181,151,193
ADELAIDE,5000,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,11,13,12,7,3,16,10,3,10,5,5,2,5,4,3,4,5,13,8,3,5,5
ADELAIDE,5000,ROBBERY AND RELATED OFFENCES,Aggravated robbery,14,20,17,13,5,17,11,16,9,11,11,8,7,9,9,13,9,13,9,8,5,6
ADELAIDE,5000,ROBBERY AND RELATED OFFENCES,Blackmail and extortion,2,2,1,,2,1,,,1,3,3,1,2,1,1,4,,,,2,1,
ADELAIDE,5000,ROBBERY AND RELATED OFFENCES,Non-aggravated robbery,5,3,7,6,6,5,11,8,2,2,3,3,5,5,5,6,1,6,6,4,2,4
ADELAIDE,5000,SERIOUS CRIMINAL TRESPASS,SCT - Non Residence,58,52,35,36,30,31,36,34,24,25,53,17,41,31,47,47,38,38,40,36,37,35
ADELAIDE,5000,SERIOUS CRIMINAL TRESPASS,SCT - Residence,13,22,13,19,10,9,13,10,32,13,20,17,16,15,18,22,14,20,25,21,17,19
ADELAIDE,5000,THEFT AND RELATED OFFENCES,Other theft,348,432,416,349,341,315,316,363,342,322,328,309,347,383,411,389,301,376,396,412,350,354
ADELAIDE,5000,THEFT AND RELATED OFFENCES,Receive or handle proceeds of crime,52,55,49,63,59,58,44,48,47,46,50,58,52,57,62,46,56,60,46,49,52,62
ADELAIDE,5000,THEFT AND RELATED OFFENCES,Theft from motor vehicle,48,64,64,54,52,58,62,60,67,60,49,47,45,51,61,69,62,51,53,60,40,64
ADELAIDE,5000,THEFT AND RELATED OFFENCES,Theft from shop,243,186,184,169,216,181,163,180,164,166,173,194,201,183,212,270,165,242,234,259,247,207
ADELAIDE,5000,THEFT AND RELATED OFFENCES,Theft/Illegal Use of MV,32,29,18,20,19,12,20,23,20,20,17,20,22,5,17,24,32,27,15,21,22,19
ADELAIDE,5001,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,,,,1,,,1,,,,,,,,,,,,,,,
ADELAIDE,5001,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,,,,,,1,,,,,,,,,,,,,,,
ADELAIDE,5001,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,,,,,,1,,,,1,,,,,,,,,,1,,
ADELAIDE,5001,THEFT AND RELATED OFFENCES,Other theft,1,,,,,,,,,,1,,,,,,,,,,,
ADELAIDE AIRPORT,5950,ACTS INTENDED TO CAUSE INJURY,Assault Police,,,,,,,,,,,,,,,,,,,,,,1
ADELAIDE AIRPORT,5950,ACTS INTENDED TO CAUSE INJURY,Common Assault,1,1,,1,,,1,1,1,,3,2,1,3,3,2,,1,1,4,1,3
ADELAIDE AIRPORT,5950,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,,,,,,,,,,,,,,,,,,,1,,,
ADELAIDE AIRPORT,5950,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,,,,,1,,2,,,,1,3,,1,1,1,,1,,3,1,
ADELAIDE AIRPORT,5950,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,1,,,,,,4,2,,1,,3,,2,4,,2,,,1,,3
ADELAIDE AIRPORT,5950,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",,,,,,,,,,,,,,1,,,1,1,4,,,
ADELAIDE AIRPORT,5950,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",,,,1,,,,,,,1,,,,,1,,1,,1,,1
ADELAIDE AIRPORT,5950,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,,,,,,,,1,,,,,,,,,,,,,,
