,,,,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count,Offence Count
period,,,,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4
suburb,postcode,Category,Subcategory,,,,,,,,,,,,,,,,,,,,,,
ABERFOYLE PARK,5159,ACTS INTENDED TO CAUSE INJURY,Assault Police,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
ABERFOYLE PARK,5159,ACTS INTENDED TO CAUSE INJURY,Common Assault,7,3,4,3,4,3,6,6,11,2,4,6,2,4,3,7,5,8,1,3,7,3
ABERFOYLE PARK,5159,ACTS INTENDED TO CAUSE INJURY,Other acts intended to cause injury,1,0,2,1,0,0,1,1,2,0,0,0,1,0,1,1,0,1,1,0,1,2
ABERFOYLE PARK,5159,ACTS INTENDED TO CAUSE INJURY,Serious Assault not resulting in injury,2,3,4,11,10,6,8,5,12,8,7,8,10,10,7,7,9,10,10,5,8,12
ABERFOYLE PARK,5159,ACTS INTENDED TO CAUSE INJURY,Serious Assault resulting in injury,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
ABERFOYLE PARK,5159,FRAUD DECEPTION AND RELATED OFFENCES,Obtain benefit by deception,2,0,2,5,1,2,2,0,3,4,2,2,1,3,2,3,2,3,2,1,1,3
ABERFOYLE PARK,5159,FRAUD DECEPTION AND RELATED OFFENCES,"Other fraud, deception and related offences",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ABERFOYLE PARK,5159,OTHER OFFENCES AGAINST THE PERSON,"Abduction, harassment and other offences",4,2,5,2,5,4,3,2,8,4,1,8,4,3,4,3,1,1,5,9,3,5
ABERFOYLE PARK,5159,OTHER OFFENCES AGAINST THE PERSON,Dangerous or negligent acts,0,0,0,0,1,0,1,3,0,0,0,0,0,0,2,2,1,1,0,1,1,0
ABERFOYLE PARK,5159,OTHER OFFENCES AGAINST THE PERSON,Threatening behaviour,1,4,1,0,0,5,6,1,0,1,4,4,0,0,0,3,0,0,0,1,0,0
ABERFOYLE PARK,5159,PROPERTY DAMAGE AND ENVIRONMENTAL,Graffiti,6,4,5,14,15,3,2,4,9,7,11,13,3,3,3,0,4,5,2,5,8,6
ABERFOYLE PARK,5159,PROPERTY DAMAGE AND ENVIRONMENTAL,Other property damage and environmental,29,22,35,17,23,17,13,14,14,14,13,14,9,16,8,10,7,11,13,12,13,22
ABERFOYLE PARK,5159,PROPERTY DAMAGE AND ENVIRONMENTAL,Property damage by fire or explosion,3,0,4,1,2,2,0,3,0,0,2,1,3,2,3,3,0,1,1,1,1,3
ABERFOYLE PARK,5159,ROBBERY AND RELATED OFFENCES,Aggravated robbery,0,1,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
ABERFOYLE PARK,5159,ROBBERY AND RELATED OFFENCES,Blackmail and extortion,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
ABERFOYLE PARK,5159,ROBBERY AND RELATED OFFENCES,Non-aggravated robbery,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
